Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P14068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1078	False	False
P27124	Oryctolagus cuniculus	Metazoa	458	False	False
P28748	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	216	False	False
P29458	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	911	False	False
P30666	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	879	False	False
P32372	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	648	False	False
P36614	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	305	False	False
P40847	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	254	False	False
P40923	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201	False	False
P40984	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	157	False	False
P48430	Gallus gallus	Metazoa	315	False	False
P70060	Xenopus laevis	Metazoa	375	False	False
P86938	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Discoba	839	False	False
P87174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210	False	False
Q02099	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2386	False	False
Q03414	Xenopus laevis	Metazoa	516	False	False
Q08B36	Xenopus laevis	Metazoa	374	False	False
Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205	False	False
Q1MTN9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	544	False	False
Q1MTQ0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	692	False	False
Q230X8	Tetrahymena thermophila (strain SB210)	Sar	423	False	False
Q25QX6	Xenopus laevis	Metazoa	153	False	False
Q3KQ35	Xenopus laevis	Metazoa	380	False	False
Q4PIR3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250	False	False
Q56R14	Xenopus laevis	Metazoa	1091	False	False
Q5AK51	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	714	False	False
Q6DD04	Xenopus laevis	Metazoa	898	False	False
Q9I869	Xenopus laevis	Metazoa	651	False	False
Q9LL85	Solanum tuberosum	Viridiplantae	274	False	False
Q9P7J7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	437	False	False
Q9US25	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1373	False	False
Q9UTE3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	620	False	False
Q9UTN6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1199	False	False
Q9UUM2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971	False	False
Q9Y794	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	972	False	False
P09842	Hordeum vulgare	Viridiplantae	603	False	False
P0C586	Oryza sativa subsp. indica	Viridiplantae	810	False	False
P23509	Solanum tuberosum	Viridiplantae	521	False	False
P55241	Zea mays	Viridiplantae	516	False	False
P07142	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	332	False	False
Q584D1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Discoba	639	False	False
W5PSH7	Ovis aries	Metazoa	305	False	False
Q33862	Ascaris suum	Metazoa	645	False	False
Q8WSR3	Ascaris suum	Metazoa	645	False	False
P37272	Capsicum annuum	Viridiplantae	419	False	False
G3LSH3	Lotus japonicus	Viridiplantae	483	False	False
O44074	Ascaris suum	Metazoa	282	False	False
Q6P9H5	Homo sapiens	Metazoa	292	False	False
Q8N7A1	Homo sapiens	Metazoa	406	False	False
Q08047	Zea mays	Viridiplantae	799	False	False
P07056	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	231	False	True
P22068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	525	False	False
P80269	Solanum tuberosum	Viridiplantae	229	False	False
Q6IZB5	Cricetulus griseus	Metazoa	316	False	True
P17605	Ovis aries	Metazoa	136	False	True
B8NLZ3	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	Fungi	570	False	False
K4CWS6	Solanum lycopersicum	Viridiplantae	470	False	False
M1J8U6	Prunus domestica	Viridiplantae	213	False	False
O13848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	284	False	False
O13959	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	107	False	False
O42649	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1194	False	False
O59703	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	351	False	False
O60097	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	526	False	False
O60184	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1102	False	False
O74499	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	113	False	False
O74518	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	336	False	False
O74854	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872	False	False
O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613	False	False
O94383	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1228	False	False
O94446	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	False	False
O94609	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1012	False	False
O94632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	773	False	False
P02263	Gallus gallus	Metazoa	129	False	False
P0C1H3	Gallus gallus	Metazoa	126	False	False
P21135	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301	False	False
P40995	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872	False	False
P49739	Xenopus laevis	Metazoa	807	False	False
P53692	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1140	False	False
P54345	Chlamydomonas reinhardtii	Viridiplantae	156	False	False
P54789	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	707	False	False
P69150	Tetrahymena thermophila	Sar	136	False	False
P69244	Medicago sativa	Viridiplantae	136	False	False
P70033	Xenopus laevis	Metazoa	435	False	False
P79083	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328	False	False
P84234	Oncorhynchus mykiss	Metazoa	136	False	False
Q01663	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	552	False	False
Q09823	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	791	False	False
Q19S50	Sus scrofa	Metazoa	770	False	False
Q26622	Strongylocentrotus purpuratus	Metazoa	583	False	False
Q27749	Psammechinus miliaris	Metazoa	137	False	False
Q27750	Psammechinus miliaris	Metazoa	143	False	False
Q5AP95	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	517	False	False
Q6DE08	Xenopus laevis	Metazoa	361	False	False
Q6F2E7	Xenopus tropicalis	Metazoa	482	False	False
Q764M6	Sus scrofa	Metazoa	419	False	False
Q76MV0	Nicotiana tabacum	Viridiplantae	136	False	False
Q91550	Xenopus laevis	Metazoa	897	False	False
Q99MI9	Cricetulus longicaudatus	Metazoa	692	False	False
Q9P7P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	528	False	False
Q9UTJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1285	False	False
Q9UV50	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	Fungi	387	False	False
Q9Y7Q6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	147	False	False
A0A2K8FQU5	Catharanthus roseus	Viridiplantae	436	False	False
A0A7U2MSD6	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	Fungi	435	False	False
A0JP82	Xenopus tropicalis	Metazoa	1901	False	False
C6ZJZ3	Glycine max	Viridiplantae	237	False	False
C8VTS4	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	369	False	False
J9VI03	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	2377	False	False
K0P2S0	Arachis hypogaea	Viridiplantae	231	False	False
K7MTW9	Glycine max	Viridiplantae	231	False	False
O13326	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429	False	False
O13777	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217	False	False
O13985	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	512	False	False
O14174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	473	False	False
O14216	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	337	False	False
O14370	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	427	False	False
O42227	Xenopus laevis	Metazoa	480	False	False
O42661	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False	False
O42868	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	197	False	False
O59748	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335	False	False
O74859	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	232	False	False
O74944	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	547	False	False
O74986	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	294	False	False
P02272	Gallus gallus	Metazoa	128	False	False
P02281	Xenopus laevis	Metazoa	126	False	False
P08992	Tetrahymena thermophila (strain SB210)	Sar	146	False	False
P13280	Oryctolagus cuniculus	Metazoa	333	False	False
P16143	Xenopus laevis	Metazoa	758	False	False
P23566	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	151	False	False
P30757	Sipunculus nudus	Metazoa	123	False	False
P36626	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	561	False	False
P36631	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468	False	False
P40384	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	345	False	False
P40999	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	330	False	False
P47979	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	404	False	False
P54346	Chlamydomonas reinhardtii	Viridiplantae	153	False	False
P55861	Xenopus laevis	Metazoa	886	False	False
P78753	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	557	False	False
P84232	Poroderma africanum	Metazoa	136	False	False
P84233	Xenopus laevis	Metazoa	136	False	False
P84247	Gallus gallus	Metazoa	136	False	False
Q09142	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	535	False	False
Q09728	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411	False	False
Q10282	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	305	False	False
Q10337	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	849	False	False
Q10428	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	548	False	False
Q2WGK3	Trichoderma harzianum	Fungi	356	False	False
Q4WJ81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	754	False	False
Q4WSF6	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	366	False	False
Q4Z1L3	Plasmodium berghei (strain Anka)	Sar	376	False	False
Q56R42	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	365	False	False
Q5A4H5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	731	False	False
Q6DDT4	Xenopus laevis	Metazoa	517	False	False
Q6DV79	Gallus gallus	Metazoa	771	False	False
Q6U6H1	Halocynthia roretzi	Metazoa	259	False	False
Q92207	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	377	False	False
Q9HGQ2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	688	False	False
Q9P6N2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	229	False	False
Q9USM3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	418	False	False
Q9USU3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878	False	False
Q9USV1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299	False	False
Q9UT49	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	578	False	False
Q9Y709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	161	False	False
Q9Y7L8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	292	False	False
Q9Y817	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1297	False	False
Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False	False
Q9ZTK5	Catharanthus roseus	Viridiplantae	439	False	False
V9M2S5	Vitis rotundifolia	Viridiplantae	1398	False	False
Q8WUX2	Homo sapiens	Metazoa	184	False	False
Q40406	Narcissus pseudonarcissus	Viridiplantae	570	False	False
P80093	Capsicum annuum	Viridiplantae	582	False	False
Q94IG7	Spinacia oleracea	Viridiplantae	531	False	False
C8VTV4	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	573	False	False
O14170	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	703	False	False
O14230	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	347	False	False
O42861	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	922	False	False
O57406	Xenopus laevis	Metazoa	489	False	False
O74309	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	807	False	False
O74469	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	133	False	False
O74536	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	576	False	False
O74887	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	192	False	False
O74966	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	77	False	False
O94316	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	984	False	False
O94580	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	282	False	False
O94740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False	False
P02264	Oncorhynchus mykiss	Metazoa	128	False	False
P02273	Tetrahymena pyriformis	Sar	138	False	False
P04909	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	132	False	False
P04910	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	131	False	False
P04913	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126	False	False
P05764	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	87	False	False
P07812	Gallus gallus	Metazoa	786	False	False
P0CJ62	Xenopus laevis	Metazoa	239	False	False
P31209	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	653	False	False
P35064	Tetrahymena thermophila (strain SB210)	Sar	138	False	False
P40381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328	False	False
P40387	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	513	False	False
P62787	Zea mays	Viridiplantae	103	False	False
P70062	Xenopus laevis	Metazoa	554	False	False
Q09725	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1587	False	False
Q0GRC4	Pisum sativum	Viridiplantae	228	False	False
Q0PF16	Macaca mulatta	Metazoa	497	False	False
Q10163	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	147	False	False
Q10356	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	191	False	False
Q10452	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	387	False	False
Q11120	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515	False	False
Q4V7K4	Xenopus laevis	Metazoa	733	False	False
Q5AJU7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	499	False	False
Q5BP74	Xenopus laevis	Metazoa	415	False	False
Q60560	Mesocricetus auratus	Metazoa	989	False	False
Q6PI79	Xenopus laevis	Metazoa	136	False	False
Q76N23	Nicotiana tabacum	Viridiplantae	136	False	False
Q7T2T1	Gallus gallus	Metazoa	484	False	False
Q7ZT46	Xenopus laevis	Metazoa	185	False	False
Q8GZU0	Catharanthus roseus	Viridiplantae	443	False	False
Q8QG92	Xenopus laevis	Metazoa	824	False	False
Q90ZA1	Xenopus laevis	Metazoa	631	False	False
Q9C107	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	815	False	False
Q9P805	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	127	False	False
Q9USZ3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	84	False	False
V9M398	Vitis rotundifolia	Viridiplantae	1331	False	False
P51662	Oryctolagus cuniculus	Metazoa	346	False	False
P11913	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	476	False	False
A0A145P7T2	Lotus japonicus	Viridiplantae	693	False	False
G2TRN4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	104	False	False
O14140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	71	False	False
O14368	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	143	False	False
O42913	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	342	False	False
O59734	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	78	False	False
O73790	Gallus gallus	Metazoa	410	False	False
O74184	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	314	False	False
O74465	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	999	False	False
O74555	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	587	False	False
O74736	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	305	False	False
O74856	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335	False	False
O74874	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	690	False	False
O74946	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	574	False	False
O77334	Plasmodium falciparum (isolate 3D7)	Sar	575	False	False
P02259	Gallus gallus	Metazoa	190	False	False
P02275	Triticum aestivum	Viridiplantae	146	False	False
P06652	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False	False
P0C1H4	Gallus gallus	Metazoa	126	False	False
P0C1H5	Gallus gallus	Metazoa	126	False	False
P18296	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1828	False	False
P36887	Sus scrofa	Metazoa	351	False	False
P37202	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	970	False	False
P42231	Ovis aries	Metazoa	794	False	False
P51555	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa	436	False	False
P62797	Oncorhynchus mykiss	Metazoa	103	False	False
P62799	Xenopus laevis	Metazoa	103	False	False
P79943	Xenopus laevis	Metazoa	254	False	False
P84231	Ictiobus bubalus	Metazoa	136	False	False
P87314	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	932	False	False
Q07163	Saccharomyces cerevisiae	Fungi	1755	False	False
Q09683	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	649	False	False
Q09772	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	811	False	False
Q09838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	681	False	False
Q10325	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	407	False	False
Q10343	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	334	False	False
Q4U0Y4	Xenopus laevis	Metazoa	392	False	False
Q4WUN7	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	378	False	False
Q59UY7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	917	False	False
Q5AMH6	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	821	False	False
Q6DE87	Xenopus laevis	Metazoa	474	False	False
Q7M4G7	Patiria pectinifera	Metazoa	122	False	False
Q8I4V8	Plasmodium falciparum (isolate 3D7)	Sar	304	False	False
Q8LPU4	Zea mays	Viridiplantae	468	False	False
Q8UVD9	Gallus gallus	Metazoa	769	False	False
Q90Z72	Gallus gallus	Metazoa	458	False	False
Q9UT19	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	764	False	False
Q9UT24	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2176	False	False
Q9UUF3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287	False	False
Q9Y825	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	408	False	False
Q10361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	616	False	False
O43052	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1150	False	False
A0A445AGS0	Arachis hypogaea	Viridiplantae	203	False	False
A5HNF6	Gallus gallus	Metazoa	299	False	False
A9T142	Physcomitrium patens	Viridiplantae	375	False	False
O13688	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	522	False	False
O13788	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527	False	False
O14113	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	263	False	False
O14114	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1190	False	False
O14313	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	156	False	False
O74429	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	920	False	False
O94561	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	195	False	False
O94684	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	318	False	False
O94701	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272	False	False
P0DXI6	Petunia hybrida	Viridiplantae	274	False	False
P30664	Xenopus laevis	Metazoa	863	False	False
P48003	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	139	False	False
P50565	Chlamydomonas reinhardtii	Viridiplantae	153	False	False
P54347	Chlamydomonas reinhardtii	Viridiplantae	153	False	False
P55862	Xenopus laevis	Metazoa	735	False	False
P55863	Xenopus laevis	Metazoa	309	False	False
P62801	Gallus gallus	Metazoa	103	False	False
P68429	Medicago sativa	Viridiplantae	136	False	False
P69246	Zea mays	Viridiplantae	136	False	False
P79937	Xenopus laevis	Metazoa	390	False	False
P84229	Gallus gallus	Metazoa	136	False	False
Q00202	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	678	False	False
Q09826	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	408	False	False
Q09884	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1374	False	False
Q09892	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	349	False	False
Q10585	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124	False	False
Q12126	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335	False	False
Q2VLK6	Trypanosoma cruzi (strain CL Brener)	Discoba	358	False	False
Q32NN2	Xenopus laevis	Metazoa	341	False	False
Q5FWY4	Xenopus laevis	Metazoa	821	False	False
Q5TM49	Macaca mulatta	Metazoa	360	False	False
Q5XK83	Xenopus laevis	Metazoa	858	False	False
Q764M5	Sus scrofa	Metazoa	753	False	False
Q91876	Xenopus laevis	Metazoa	720	False	False
Q9P3A7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	815	False	False
Q9P6I7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	367	False	False
Q9P7F8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	329	False	False
Q9PSW9	Gallus gallus	Metazoa	126	False	False
Q9TSV5	Sus scrofa	Metazoa	360	False	False
Q9USJ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	393	False	False
Q9UTI3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	177	False	False
Q9UUG9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1339	False	False
A6NDU8	Homo sapiens	Metazoa	294	False	False
P0CG29	Homo sapiens	Metazoa	244	False	False
Q8ND71	Homo sapiens	Metazoa	665	False	False
O04121	Spinacia oleracea	Viridiplantae	439	False	False
P00455	Spinacia oleracea	Viridiplantae	369	False	False
Q40983	Pisum sativum	Viridiplantae	1257	False	False
Q84KI6	Spinacia oleracea	Viridiplantae	482	False	False
P93203	Solanum lycopersicum	Viridiplantae	697	False	False
O24592	Zea mays	Viridiplantae	604	False	False
P10933	Pisum sativum	Viridiplantae	360	False	False
P19954	Spinacia oleracea	Viridiplantae	302	False	False
A0A1D6IEG9	Zea mays	Viridiplantae	668	False	False
P17067	Pisum sativum	Viridiplantae	328	False	False
Q5UB07	Medicago truncatula	Viridiplantae	580	False	False
A6YSL1	Zea mays	Viridiplantae	525	False	False
Q38786	Avena sativa	Viridiplantae	574	False	False
Q9GS23	Trypanosoma brucei brucei	Discoba	584	False	False
Q9UTH0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1162	False	False
B2ZZS9	Oryzias latipes	Metazoa	400	False	False
O14098	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	593	False	False
O24591	Zea mays	Viridiplantae	307	False	False
O60182	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	934	False	False
O94276	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	215	False	False
Q09738	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	449	False	False
A0A2K3DZC4	Chlamydomonas reinhardtii	Viridiplantae	156	False	False
D2CSU4	Petunia hybrida	Viridiplantae	324	False	False
Q195N6	Zea mays	Viridiplantae	426	False	False
O78750	Ovis aries	Metazoa	227	False	False
P92506	Ascaris suum	Metazoa	188	False	True
P38937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	262	False	False
D0VWV4	Sus scrofa	Metazoa	169	False	True
O78749	Ovis aries	Metazoa	514	False	False
O74191	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	361	False	False
Q10146	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	777	False	False
Q9UTN3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	684	False	False
P00523	Gallus gallus	Metazoa	533	False	False
P22185	Sauromatum venosum	Viridiplantae	349	False	False
P92507	Ascaris suum	Metazoa	156	False	True
A4UVI1	Papio anubis	Metazoa	444	False	False
P03945	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	557	False	False
W2SDE2	Cyphellophora europaea (strain CBS 101466)	Fungi	346	False	False
A0A078CGE6	Brassica napus	Viridiplantae	1299	False	False
O60143	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	251	False	False
Q9USR9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	643	False	False
