Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
Q86QT3	Centruroides noxius	Metazoa	62	20	Null
Q8AXY1	Bothrops jararacussu	Metazoa	138	16	Null
Q8I0L5	Olivierus martensii	Metazoa	59	22	Null
Q90W39	Protobothrops mucrosquamatus	Metazoa	138	16	Null
Q9C0Y4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	969	24	Null
Q9FSH9	Lupinus albus	Viridiplantae	452	33	Null
Q9GKK3	Equus caballus	Metazoa	241	15	Null
Q9NBG9	Olivierus martensii	Metazoa	59	22	Null
Q9PTT2	Lepidobatrachus laevis	Metazoa	225	19	Null
Q9PVF4	Calloselasma rhodostoma	Metazoa	137	16	Null
Q9XXV0	Bombyx mori	Metazoa	441	21	Null
Q9YH85	Gallus gallus	Metazoa	2120	24	Null
Q9ZT64	Pinus contorta	Viridiplantae	513	23	Null
U3FAE1	Micrurus fulvius	Metazoa	84	21	Null
A0A0A1I6E7	Androctonus crassicauda	Metazoa	74	22	Null
A0A0A1I6N9	Androctonus crassicauda	Metazoa	74	22	Null
A0A1L6K371	Juglans nigra	Viridiplantae	510	23	Null
A0A2L0ART2	Scolopendra mutilans	Metazoa	76	23	Null
A0A482A9N4	Talaromyces verruculosus	Fungi	328	21	Null
A0A8U0WQF3	Apis mellifera	Metazoa	684	21	Null
A3RF67	Dalbergia nigrescens	Viridiplantae	547	31	Null
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19	Null
B8AL97	Oryza sativa subsp. indica	Viridiplantae	470	34	Null
C0HKC3	Agkistrodon piscivorus leucostoma	Metazoa	139	16	Null
E0D877	Aedes albopictus	Metazoa	564	25	Null
I1SB12	Microdochium nivale	Fungi	495	22	Null
I2C090	Ophiophagus hannah	Metazoa	1641	22	Null
O02839	Sus scrofa	Metazoa	363	44	Null
O42414	Gallus gallus	Metazoa	1369	25	Null
O46166	Eratigena agrestis	Metazoa	68	17	Null
O61668	Olivierus martensii	Metazoa	88	18	Null
P00433	Armoracia rusticana	Viridiplantae	353	30	Null
P00615	Oxyuranus scutellatus scutellatus	Metazoa	145	27	Null
P00703	Meleagris gallopavo	Metazoa	147	18	Null
P00713	Cavia porcellus	Metazoa	142	19	Null
P00791	Sus scrofa	Metazoa	385	15	Null
P01231	Ovis aries	Metazoa	141	20	Null
P01329	Cavia porcellus	Metazoa	110	24	Null
P01500	Apis mellifera	Metazoa	46	27	Null
P02703	Sus scrofa	Metazoa	112	17	Null
P04002	Pseudopleuronectes americanus	Metazoa	82	23	Null
P04058	Tetronarce californica	Metazoa	586	21	Null
P06859	Protobothrops flavoviridis	Metazoa	138	16	Null
P0DKR6	Dendroaspis polylepis polylepis	Metazoa	78	21	Null
P0DKU2	Pandinus imperator	Metazoa	145	15	Null
P11941	Oncorhynchus mykiss	Metazoa	144	15	Null
P12387	Cavia porcellus	Metazoa	1666	22	Null
P12637	Canis lupus familiaris	Metazoa	410	19	Null
P17715	Octodon degus	Metazoa	109	24	Null
P22394	Geotrichum candidum	Fungi	563	19	Null
P22770	Gallus gallus	Metazoa	502	23	Null
P23472	Hevea brasiliensis	Viridiplantae	311	26	Null
P25291	Canis lupus familiaris	Metazoa	509	21	Null
P29022	Zea mays	Viridiplantae	280	25	Null
P29794	Canis lupus familiaris	Metazoa	180	20	Null
P31723	Penicillium citrinum	Fungi	511	35	Null
P31779	Aquarana catesbeiana	Metazoa	153	24	Null
P35331	Gallus gallus	Metazoa	1284	24	Null
P60775	Laticauda semifasciata	Metazoa	83	21	Null
P61870	Penicillium camembertii	Fungi	305	26	Null
P62022	Crotalus durissus terrificus	Metazoa	138	16	Null
P62023	Crotalus scutulatus scutulatus	Metazoa	138	16	Null
P63152	Cavia porcellus	Metazoa	143	23	Null
P63153	Sus scrofa	Metazoa	146	23	Null
P67861	Daboia russelii	Metazoa	144	24	Null
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18	Null
P79263	Sus scrofa	Metazoa	921	27	Null
P81294	Juniperus ashei	Viridiplantae	367	21	Null
P81382	Calloselasma rhodostoma	Metazoa	516	18	Null
P82683	Viscum album	Viridiplantae	569	33	Null
P83519	Bothrops jararacussu	Metazoa	159	24	Null
P84809	Buthus occitanus tunetanus	Metazoa	95	22	Null
P93680	Persea americana	Viridiplantae	326	25	Null
Q02471	Daboia siamensis	Metazoa	138	16	Null
Q1RP79	Vipera nikolskii	Metazoa	138	16	Null
Q27908	Pinctada fucata	Metazoa	447	17	Null
Q28989	Sus scrofa	Metazoa	421	26	Null
Q29486	Felis catus	Metazoa	524	17	Null
Q2PS07	Fagopyrum esculentum	Viridiplantae	149	22	Null
Q2YHJ6	Craspedocephalus puniceus	Metazoa	138	16	Null
Q4PRD2	Daboia siamensis	Metazoa	158	24	Null
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51	Null
Q6EER4	Bothriechis schlegelii	Metazoa	138	16	Null
Q6JK69	Bothrops atrox	Metazoa	138	16	Null
Q6YDN9	Brassica oleracea var. botrytis	Viridiplantae	295	23	Null
Q7SZI7	Xenopus laevis	Metazoa	1219	22	Null
Q7T2R1	Daboia siamensis	Metazoa	138	16	Null
Q7YXD3	Androctonus mauritanicus mauritanicus	Metazoa	85	19	Null
Q7ZT75	Xenopus laevis	Metazoa	315	19	Null
Q805A2	Protobothrops flavoviridis	Metazoa	138	16	Null
Q805F3	Xenopus laevis	Metazoa	397	16	Null
Q8L5C6	Triticum aestivum	Viridiplantae	304	30	Null
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26	Null
Q8WZI8	Aspergillus niger	Fungi	521	17	Null
Q90249	Bothrops jararacussu	Metazoa	137	16	Null
Q90935	Gallus gallus	Metazoa	410	16	Null
Q90WJ8	Anguilla japonica	Metazoa	166	24	Null
Q95JC9	Sus scrofa	Metazoa	676	16	Null
Q96TU3	Aspergillus awamori	Fungi	537	19	Null
Q9ATH2	Corylus avellana	Viridiplantae	115	23	Null
Q9GQV7	Aedes aegypti	Metazoa	128	22	Null
Q9NII7	Olivierus martensii	Metazoa	60	22	Null
Q9NL89	Bombyx mori	Metazoa	495	16	Null
Q9TSN6	Bubalus bubalis	Metazoa	142	18	Null
Q9U572	Penaeus monodon	Metazoa	1670	14	Null
Q9UAD0	Olivierus martensii	Metazoa	59	24	Null
Q9UVI4	Claviceps fusiformis	Fungi	394	16	Null
W8E7D1	Macrovipera lebetinus	Metazoa	851	23	Null
X2JCV5	Cerastes cerastes	Metazoa	516	18	Null
P01714	Homo sapiens	Metazoa	112	20	Null
Q96IQ7	Homo sapiens	Metazoa	327	23	Null
O75596	Homo sapiens	Metazoa	197	22	Null
P01566	Homo sapiens	Metazoa	189	23	Null
P01599	Homo sapiens	Metazoa	117	22	Null
P01715	Homo sapiens	Metazoa	115	20	Null
P01717	Homo sapiens	Metazoa	112	19	Null
P01763	Homo sapiens	Metazoa	117	19	Null
P60153	Homo sapiens	Metazoa	205	26	Null
Q5FWE3	Homo sapiens	Metazoa	981	27	Null
Q6UWM7	Homo sapiens	Metazoa	567	21	Null
Q96I82	Homo sapiens	Metazoa	304	30	Null
Q96QR1	Homo sapiens	Metazoa	104	20	Null
O75711	Homo sapiens	Metazoa	98	20	Null
P01569	Homo sapiens	Metazoa	189	21	Null
P01743	Homo sapiens	Metazoa	117	19	Null
P01762	Homo sapiens	Metazoa	117	19	Null
P12872	Homo sapiens	Metazoa	115	25	Null
Q6UWV2	Homo sapiens	Metazoa	235	31	Null
Q8NBM8	Homo sapiens	Metazoa	494	22	Null
Q8TAL6	Homo sapiens	Metazoa	211	18	Null
Q96S96	Homo sapiens	Metazoa	227	22	Null
Q9BX93	Homo sapiens	Metazoa	195	19	Null
Q9H4G1	Homo sapiens	Metazoa	147	28	Null
Q9HB40	Homo sapiens	Metazoa	452	26	Null
P01611	Homo sapiens	Metazoa	117	22	Null
P01624	Homo sapiens	Metazoa	115	20	Null
P01703	Homo sapiens	Metazoa	118	19	Null
P01718	Homo sapiens	Metazoa	113	20	Null
P01766	Homo sapiens	Metazoa	116	19	Null
P01767	Homo sapiens	Metazoa	116	19	Null
P01782	Homo sapiens	Metazoa	118	19	Null
P04430	Homo sapiens	Metazoa	117	22	Null
P58294	Homo sapiens	Metazoa	105	19	Null
Q14641	Homo sapiens	Metazoa	139	25	Null
Q6UWM5	Homo sapiens	Metazoa	242	22	Null
Q6UXK5	Homo sapiens	Metazoa	716	25	Null
P01614	Homo sapiens	Metazoa	121	19	Null
P01824	Homo sapiens	Metazoa	125	26	Null
P05013	Homo sapiens	Metazoa	189	20	Null
Q5DT21	Homo sapiens	Metazoa	86	19	Null
Q6UW32	Homo sapiens	Metazoa	110	24	Null
Q6UX52	Homo sapiens	Metazoa	265	20	Null
Q96PL1	Homo sapiens	Metazoa	93	21	Null
Q9NRR1	Homo sapiens	Metazoa	136	22	Null
Q9NTU7	Homo sapiens	Metazoa	201	27	Null
Q9UN67	Homo sapiens	Metazoa	800	26	Null
D4A540	Rattus norvegicus	Metazoa	148	31	Null
P13384	Bos taurus	Metazoa	317	33	Null
P20059	Rattus norvegicus	Metazoa	460	23	Null
P30224	Arabidopsis thaliana	Viridiplantae	80	29	Null
P42813	Arabidopsis thaliana	Viridiplantae	230	22	Null
P46168	Bos taurus	Metazoa	62	22	Null
P47853	Rattus norvegicus	Metazoa	369	16	Null
P80513	Bos taurus	Metazoa	179	21	Null
P81019	Bos taurus	Metazoa	183	25	Null
Q04457	Caenorhabditis elegans	Metazoa	562	16	Null
Q05186	Mus musculus	Metazoa	325	23	Null
Q3UN54	Mus musculus	Metazoa	99	21	Null
Q55GS3	Dictyostelium discoideum	Amoebozoa	607	19	Null
Q63010	Rattus norvegicus	Metazoa	561	18	Null
Q8LG54	Arabidopsis thaliana	Viridiplantae	130	21	Null
Q8S2W4	Arabidopsis thaliana	Viridiplantae	61	22	Null
Q9LYF6	Arabidopsis thaliana	Viridiplantae	61	22	Null
O48818	Arabidopsis thaliana	Viridiplantae	257	20	Null
O70280	Rattus norvegicus	Metazoa	212	26	Null
O82337	Arabidopsis thaliana	Viridiplantae	73	26	Null
P02781	Rattus norvegicus	Metazoa	112	20	Null
P04651	Bos taurus	Metazoa	141	20	Null
P05366	Mus musculus	Metazoa	122	19	Null
P07994	Bos taurus	Metazoa	360	17	Null
P08937	Rattus norvegicus	Metazoa	172	15	Null
P09656	Rattus norvegicus	Metazoa	79	23	Null
P13909	Bos taurus	Metazoa	402	23	Null
P18915	Bos taurus	Metazoa	319	14	Null
P19111	Bos taurus	Metazoa	533	19	Null
P21614	Mus musculus	Metazoa	476	16	Null
P21837	Dictyostelium discoideum	Amoebozoa	550	19	Null
P46162	Bos taurus	Metazoa	63	22	Null
P46163	Bos taurus	Metazoa	64	22	Null
P80195	Bos taurus	Metazoa	153	18	Null
P97535	Rattus norvegicus	Metazoa	456	24	Null
P98140	Bos taurus	Metazoa	612	19	Null
Q01460	Rattus norvegicus	Metazoa	367	23	Null
Q02862	Mus musculus	Metazoa	184	15	Null
Q0P569	Bos taurus	Metazoa	474	24	Null
Q4V645	Drosophila melanogaster	Metazoa	108	29	Null
Q61400	Mus musculus	Metazoa	265	33	Null
Q6ZBZ2	Oryza sativa subsp. japonica	Viridiplantae	213	23	Null
Q7M438	Dictyostelium discoideum	Amoebozoa	223	25	Null
Q8CEK3	Mus musculus	Metazoa	90	23	Null
Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22	Null
Q8MI01	Bos taurus	Metazoa	330	23	Null
Q91Z98	Mus musculus	Metazoa	402	21	Null
Q9C8A4	Arabidopsis thaliana	Viridiplantae	58	24	Null
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	27	Null
Q9M373	Arabidopsis thaliana	Viridiplantae	74	26	Null
G3MYZ3	Bos taurus	Metazoa	604	21	Null
G5EC68	Caenorhabditis elegans	Metazoa	85	17	Null
P02780	Rattus norvegicus	Metazoa	95	18	Null
P04557	Bos taurus	Metazoa	140	25	Null
P06911	Rattus norvegicus	Metazoa	188	19	Null
P07730	Oryza sativa subsp. japonica	Viridiplantae	499	24	Null
P15242	Rattus norvegicus	Metazoa	333	17	Null
P19035	Bos taurus	Metazoa	96	23	Null
P31532	Mus musculus	Metazoa	130	18	Null
P50448	Bos taurus	Metazoa	468	23	Null
P81264	Bos taurus	Metazoa	98	22	Null
Q53NL5	Oryza sativa subsp. japonica	Viridiplantae	290	27	Null
Q5NAT0	Oryza sativa subsp. japonica	Viridiplantae	640	34	Null
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	25	Null
Q62632	Rattus norvegicus	Metazoa	306	18	Null
Q95121	Bos taurus	Metazoa	416	20	Null
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	21	Null
Q9FK16	Arabidopsis thaliana	Viridiplantae	63	27	Null
Q9SJY7	Arabidopsis thaliana	Viridiplantae	131	21	Null
Q9ZT16	Arabidopsis thaliana	Viridiplantae	135	21	Null
F1N2K1	Bos taurus	Metazoa	508	31	Null
P00683	Mus musculus	Metazoa	149	25	Null
P00996	Bos taurus	Metazoa	79	23	Null
P02783	Rattus norvegicus	Metazoa	112	21	Null
P08541	Rattus norvegicus	Metazoa	530	23	Null
P10631	Rattus norvegicus	Metazoa	98	28	Null
P13213	Bos taurus	Metazoa	303	17	Null
P19034	Bos taurus	Metazoa	101	22	Null
P51740	Rattus norvegicus	Metazoa	551	19	Null
Q05443	Bos taurus	Metazoa	342	18	Null
Q10E50	Oryza sativa subsp. japonica	Viridiplantae	163	43	Null
Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30	Null
Q28862	Bos taurus	Metazoa	310	16	Null
Q5JNJ5	Oryza sativa subsp. japonica	Viridiplantae	237	28	Null
Q62703	Rattus norvegicus	Metazoa	320	25	Null
Q8L9T8	Arabidopsis thaliana	Viridiplantae	63	27	Null
Q91XV6	Rattus norvegicus	Metazoa	94	17	Null
Q9C5S0	Arabidopsis thaliana	Viridiplantae	191	20	Null
Q9D3H2	Mus musculus	Metazoa	163	16	Null
Q9M0S4	Arabidopsis thaliana	Viridiplantae	127	21	Null
Q9TW32	Dictyostelium discoideum	Amoebozoa	197	22	Null
Q9XSC9	Bos taurus	Metazoa	432	18	Null
O35806	Rattus norvegicus	Metazoa	1764	35	Null
P01217	Bos taurus	Metazoa	120	24	Null
P04073	Rattus norvegicus	Metazoa	392	16	Null
P13204	Bos taurus	Metazoa	129	26	Null
P15467	Bos taurus	Metazoa	147	28	Null
P17690	Bos taurus	Metazoa	345	19	Null
P18892	Bos taurus	Metazoa	526	26	Null
P33579	Rattus norvegicus	Metazoa	238	30	Null
P34207	Rattus norvegicus	Metazoa	223	28	Null
P35541	Bos taurus	Metazoa	130	18	Null
P35572	Rattus norvegicus	Metazoa	226	25	Null
P46165	Bos taurus	Metazoa	62	22	Null
P55803	Bos taurus	Metazoa	246	28	Null
P84039	Rattus norvegicus	Metazoa	477	24	Null
Q18184	Caenorhabditis elegans	Metazoa	89	23	Null
Q60767	Mus musculus	Metazoa	1723	27	Null
Q60GF7	Rattus norvegicus	Metazoa	252	22	Null
Q63191	Rattus norvegicus	Metazoa	1216	21	Null
Q9STQ3	Arabidopsis thaliana	Viridiplantae	59	27	Null
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18	Null
A0A2I8B353	Paralithodes camtschaticus	Metazoa	76	23	Null
A1IKL2	Anisakis simplex	Metazoa	152	18	Null
B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21	Null
B1B5I8	Stichodactyla haddoni	Metazoa	81	19	Null
B4FZ87	Zea mays	Viridiplantae	396	31	Null
B7FDP2	Centruroides suffusus	Metazoa	87	19	Null
C0HJQ4	Mesobuthus eupeus	Metazoa	61	23	Null
C0HJZ1	Arachis hypogaea	Viridiplantae	72	25	Null
C0HKC2	Agkistrodon piscivorus leucostoma	Metazoa	137	16	Null
C0HL38	Trichonephila clavata	Metazoa	60	19	Null
C0K3N1	Bitis arietans	Metazoa	150	24	Null
C4NZN9	Hyas araneus	Metazoa	131	16	Null
D3JXM1	Mesobuthus eupeus	Metazoa	59	22	Null
E6Y8S8	Apium graveolens	Viridiplantae	118	27	Null
G1CWH6	Clitoria ternatea	Viridiplantae	122	25	Null
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32	Null
O59896	Pycnoporus cinnabarinus	Fungi	518	21	Null
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22	Null
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23	Null
O96559	Cimex lectularius	Metazoa	364	35	Null
P01170	Lophius americanus	Metazoa	125	24	Null
P01224	Sus scrofa	Metazoa	138	20	Null
P01228	Sus scrofa	Metazoa	129	20	Null
P01313	Cricetulus longicaudatus	Metazoa	110	24	Null
P01443	Naja atra	Metazoa	81	21	Null
P02681	Tachypleus tridentatus	Metazoa	195	20	Null
P02872	Arachis hypogaea	Viridiplantae	273	23	Null
P02873	Phaseolus vulgaris	Viridiplantae	246	23	Null
P04284	Solanum lycopersicum	Viridiplantae	159	24	Null
P06215	Phaseolus vulgaris	Viridiplantae	328	27	Null
P06908	Canis lupus familiaris	Metazoa	248	17	Null
P09464	Pieris brassicae	Metazoa	189	15	Null
P09955	Sus scrofa	Metazoa	416	15	Null
P0DJJ8	Protobothrops flavoviridis	Metazoa	138	16	Null
P0DMJ5	Radianthus crispa	Metazoa	78	22	Null
P12069	Sus scrofa	Metazoa	148	18	Null
P13731	Gallus gallus	Metazoa	405	15	Null
P13917	Glycine max	Viridiplantae	427	24	Null
P14213	Tachypleus tridentatus	Metazoa	77	23	Null
P15522	Camelus dromedarius	Metazoa	155	18	Null
P18137	Sus scrofa	Metazoa	141	19	Null
P18329	Dendroaspis angusticeps	Metazoa	80	21	Null
P18657	Macaca fascicularis	Metazoa	83	26	Null
P19667	Molineria latifolia	Viridiplantae	158	22	Null
P19855	Leiurus quinquestriatus quinquestriatus	Metazoa	82	21	Null
P21326	Mirabilis jalapa	Viridiplantae	278	28	Null
P22952	Sus scrofa	Metazoa	117	36	Null
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31	Null
P24052	Gallus gallus	Metazoa	142	21	Null
P24817	Momordica charantia	Viridiplantae	286	23	Null
P26652	Gallus gallus	Metazoa	212	24	Null
P31226	Aquarana catesbeiana	Metazoa	844	19	Null
P32936	Hordeum vulgare	Viridiplantae	149	24	Null
P34180	Vipera ammodytes ammodytes	Metazoa	137	16	Null
P35334	Phaseolus vulgaris	Viridiplantae	342	29	Null
P35496	Sus scrofa	Metazoa	137	21	Null
P42705	Canis lupus familiaris	Metazoa	352	23	Null
P56612	Tityus stigmurus	Metazoa	84	19	Null
P60616	Bungarus multicinctus	Metazoa	95	21	Null
P61629	Papio anubis	Metazoa	148	18	Null
P61917	Pan troglodytes	Metazoa	151	19	Null
P80022	Solanum lycopersicum	Viridiplantae	230	25	Null
P81783	Bungarus candidus	Metazoa	87	21	Null
P82358	Acanthoscurria gomesiana	Metazoa	84	23	Null
P83313	Opistophthalmus carinatus	Metazoa	82	22	Null
P84805	Naja kaouthia	Metazoa	239	18	Null
P86407	Mesobuthus eupeus	Metazoa	75	22	Null
P86798	Cupiennius salei	Metazoa	140	19	Null
Q00017	Aspergillus aculeatus	Fungi	250	17	Null
Q07154	Zea mays	Viridiplantae	269	24	Null
Q12546	Aspergillus ficuum	Fungi	614	22	Null
Q25154	Homarus americanus	Metazoa	134	24	Null
Q3YJT5	Solanum tuberosum	Viridiplantae	387	23	Null
Q4LCS8	Androctonus australis	Metazoa	82	22	Null
Q56EB0	Bothrops jararaca	Metazoa	150	23	Null
Q5KSB7	Oligobrachia mashikoi	Metazoa	161	16	Null
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18	Null
Q6TPH0	Protobothrops mucrosquamatus	Metazoa	158	23	Null
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26	Null
Q70DJ5	Arachis hypogaea	Viridiplantae	280	26	Null
Q76FB0	Cyanidium caldarium	Rhodophyta	155	20	Null
Q7T3J2	Bungarus candidus	Metazoa	95	21	Null
Q7ZZN8	Naja atra	Metazoa	238	19	Null
Q800Y2	Argyrosomus regius	Metazoa	118	19	Null
Q8AV97	Protobothrops flavoviridis	Metazoa	158	23	Null
Q8JGT6	Protobothrops mucrosquamatus	Metazoa	146	23	Null
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25	Null
Q8UVU7	Cerrophidion godmani	Metazoa	137	16	Null
Q92154	Coturnix japonica	Metazoa	620	17	Null
Q95NY5	Anopheles stephensi	Metazoa	315	18	Null
Q9N2D3	Callithrix jacchus	Metazoa	388	16	Null
Q9NBW2	Olivierus martensii	Metazoa	83	19	Null
Q9U8D2	Olivierus martensii	Metazoa	57	28	Null
Q9U943	Locusta migratoria	Metazoa	3380	21	Null
Q9XY87	Olivierus martensii	Metazoa	85	21	Null
W5XCJ6	Macrovipera lebetinus	Metazoa	154	23	Null
A0A2I6QAZ5	Trametes coccinea (strain BRFM310)	Fungi	428	21	Null
A0A4P9I8G4	Waitea arvalis	Fungi	238	20	Null
A0A7E5WTY7	Trichoplusia ni	Metazoa	211	20	Null
A0A8U1C2Y4	Apis mellifera	Metazoa	686	19	Null
A8CG90	Daboia russelii	Metazoa	137	16	Null
A8Y7P1	Daboia siamensis	Metazoa	84	24	Null
C0HKG0	Clitoria ternatea	Viridiplantae	117	25	Null
C1IC49	Walterinnesia aegyptia	Metazoa	86	21	Null
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18	Null
C7B247	Isometrus maculatus	Metazoa	74	22	Null
D1MGU0	Protobothrops jerdonii	Metazoa	156	23	Null
D1MGU1	Protobothrops jerdonii	Metazoa	146	23	Null
G1CWH1	Clitoria ternatea	Viridiplantae	132	28	Null
G1CWH8	Clitoria ternatea	Viridiplantae	123	28	Null
G4V4F9	Cupiennius salei	Metazoa	97	19	Null
G8YYA6	Androctonus amoreuxi	Metazoa	74	22	Null
O22317	Musa acuminata	Viridiplantae	340	28	Null
O46162	Schistocerca gregaria	Metazoa	92	19	Null
O46168	Eratigena agrestis	Metazoa	68	17	Null
O96910	Aplysia californica	Metazoa	76	18	Null
P00705	Anas platyrhynchos	Metazoa	147	18	Null
P01232	Sus scrofa	Metazoa	141	20	Null
P01245	Equus caballus	Metazoa	216	26	Null
P01311	Oryctolagus cuniculus	Metazoa	110	24	Null
P01318	Ovis aries	Metazoa	105	24	Null
P01342	Myxine glutinosa	Metazoa	115	26	Null
P01442	Naja atra	Metazoa	81	21	Null
P02229	Chironomus thummi thummi	Metazoa	151	15	Null
P02756	Capra hircus	Metazoa	180	18	Null
P04119	Sus scrofa	Metazoa	178	18	Null
P04667	Oncorhynchus keta	Metazoa	105	22	Null
P07474	Oryctolagus cuniculus	Metazoa	120	24	Null
P08056	Rhizopus niveus	Fungi	238	16	Null
P08899	Anguilla japonica	Metazoa	209	19	Null
P09462	Ovis aries	Metazoa	142	19	Null
P09584	Oncorhynchus keta	Metazoa	210	23	Null
P09954	Sus scrofa	Metazoa	419	16	Null
P0C1X7	Tityus discrepans	Metazoa	83	20	Null
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20	Null
P0C908	Buthus israelis	Metazoa	59	22	Null
P0CC12	Odontobuthus doriae	Metazoa	57	28	Null
P0DUT6	Doratifera vulnerans	Metazoa	66	20	Null
P10257	Oncorhynchus keta	Metazoa	137	24	Null
P10281	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	276	17	Null
P12707	Xenopus laevis	Metazoa	106	23	Null
P14944	Carcinus maenas	Metazoa	142	26	Null
P15156	Mesocricetus auratus	Metazoa	695	21	Null
P18926	Centruroides tecomanus	Metazoa	87	19	Null
P20013	Trametes versicolor	Fungi	372	26	Null
P20112	Sus scrofa	Metazoa	300	17	Null
P20476	Craspedocephalus gramineus	Metazoa	138	16	Null
P23035	Oryctolagus cuniculus	Metazoa	413	24	Null
P23806	Protobothrops flavoviridis	Metazoa	152	23	Null
P26729	Bombyx mori	Metazoa	92	19	Null
P28351	Aspergillus niger	Fungi	545	31	Null
P31235	Oryctolagus cuniculus	Metazoa	409	19	Null
P33185	Bryonia dioica	Viridiplantae	290	23	Null
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25	Null
P45663	Centruroides noxius	Metazoa	87	19	Null
P48747	Oryctolagus cuniculus	Metazoa	557	21	Null
P48816	Bombyx mori	Metazoa	137	18	Null
P49141	Monodelphis domestica	Metazoa	149	20	Null
P51918	Haplochromis burtoni	Metazoa	94	22	Null
P56526	Aspergillus niger	Fungi	985	25	Null
P56829	Ovis aries	Metazoa	195	23	Null
P59938	Olivierus martensii	Metazoa	57	21	Null
P67876	Aspergillus restrictus	Fungi	176	27	Null
P67976	Ovis aries	Metazoa	180	18	Null
P67977	Semnopithecus entellus	Metazoa	148	18	Null
P80060	Locusta migratoria	Metazoa	92	19	Null
P80426	Salmo salar	Metazoa	690	18	Null
P80463	Phaseolus lunatus	Viridiplantae	428	24	Null
P81447	Capra hircus	Metazoa	154	18	Null
P81497	Suncus murinus	Metazoa	387	16	Null
P82818	Bombyx mori	Metazoa	66	24	Null
P83400	Hottentotta tamulus	Metazoa	60	24	Null
P84527	Actinidia deliciosa	Viridiplantae	213	24	Null
P85213	Galleria mellonella	Metazoa	72	29	Null
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24	Null
P86404	Mesobuthus eupeus	Metazoa	86	19	Null
Q00293	Aspergillus tubingensis	Fungi	435	22	Null
Q07081	Aquarana catesbeiana	Metazoa	464	16	Null
Q17058	Apis mellifera	Metazoa	567	17	Null
Q26636	Sarcophaga peregrina	Metazoa	339	17	Null
Q2PGY1	Penicillium citrinum	Fungi	217	27	Null
Q2YHJ4	Craspedocephalus borneensis	Metazoa	138	16	Null
Q2YHJ9	Craspedocephalus puniceus	Metazoa	138	16	Null
Q39649	Cucurbita maxima	Viridiplantae	141	22	Null
Q3HLQ4	Protobothrops mucrosquamatus	Metazoa	138	16	Null
Q41161	Robinia pseudoacacia	Viridiplantae	285	31	Null
Q4LCS9	Androctonus australis	Metazoa	80	22	Null
Q5DW47	Apis mellifera	Metazoa	107	21	Null
Q6GU94	Centruroides limpidus	Metazoa	56	24	Null
Q6H3D2	Trimeresurus stejnegeri	Metazoa	138	16	Null
Q76CE6	Typhula ishikariensis	Fungi	243	20	Null
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17	Null
Q7T2I5	Laticauda semifasciata	Metazoa	83	21	Null
Q84V39	Olea europaea	Viridiplantae	123	21	Null
Q875I9	Aspergillus fumigatus	Fungi	238	17	Null
Q8AYA2	Bothrops moojeni	Metazoa	166	19	Null
Q8HY17	Sus scrofa	Metazoa	140	26	Null
Q8I817	Aplysia californica	Metazoa	88	19	Null
Q8IFJ8	Scutigera coleoptrata	Metazoa	659	18	Null
Q90W54	Gloydius blomhoffii	Metazoa	504	18	Null
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	24	Null
Q90Y77	Protobothrops flavoviridis	Metazoa	138	16	Null
Q98996	Daboia palaestinae	Metazoa	138	16	Null
Q9GK12	Camelus dromedarius	Metazoa	193	21	Null
Q9N2D2	Callithrix jacchus	Metazoa	381	16	Null
Q9NII6	Olivierus martensii	Metazoa	57	20	Null
Q9PTC3	Notechis ater	Metazoa	201	19	Null
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24	Null
A0A161AT60	Pisum sativum	Viridiplantae	120	25	Null
