Accession	Organism	Kingdom	Sequence length	SP cleavage
P25291	509	1	21	Canis lupus familiaris	Metazoa
P29022	280	1	25	Zea mays	Viridiplantae
P29794	180	1	20	Canis lupus familiaris	Metazoa
P31723	511	1	35	Penicillium citrinum	Fungi
P31779	153	1	24	Aquarana catesbeiana	Metazoa
P35331	1284	1	24	Gallus gallus	Metazoa
P60775	83	1	21	Laticauda semifasciata	Metazoa
P61870	305	1	26	Penicillium camembertii	Fungi
P62022	138	1	16	Crotalus durissus terrificus	Metazoa
P62023	138	1	16	Crotalus scutulatus scutulatus	Metazoa
P63152	143	1	23	Cavia porcellus	Metazoa
P63153	146	1	23	Sus scrofa	Metazoa
P67861	144	1	24	Daboia russelii	Metazoa
P78581	588	1	18	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
P79263	921	1	27	Sus scrofa	Metazoa
P81294	367	1	21	Juniperus ashei	Viridiplantae
P81382	516	1	18	Calloselasma rhodostoma	Metazoa
P82683	569	1	33	Viscum album	Viridiplantae
P83519	159	1	24	Bothrops jararacussu	Metazoa
P84809	95	1	22	Buthus occitanus tunetanus	Metazoa
P93680	326	1	25	Persea americana	Viridiplantae
Q02471	138	1	16	Daboia siamensis	Metazoa
Q1RP79	138	1	16	Vipera nikolskii	Metazoa
Q27908	447	1	17	Pinctada fucata	Metazoa
Q28989	421	1	26	Sus scrofa	Metazoa
Q29486	524	1	17	Felis catus	Metazoa
Q2PS07	149	1	22	Fagopyrum esculentum	Viridiplantae
Q2YHJ6	138	1	16	Craspedocephalus puniceus	Metazoa
Q4PRD2	158	1	24	Daboia siamensis	Metazoa
Q55U20	458	1	51	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi
Q6EER4	138	1	16	Bothriechis schlegelii	Metazoa
Q6JK69	138	1	16	Bothrops atrox	Metazoa
Q6YDN9	295	1	23	Brassica oleracea var. botrytis	Viridiplantae
Q7SZI7	1219	1	22	Xenopus laevis	Metazoa
Q7T2R1	138	1	16	Daboia siamensis	Metazoa
Q7YXD3	85	1	19	Androctonus mauritanicus mauritanicus	Metazoa
Q7ZT75	315	1	19	Xenopus laevis	Metazoa
Q805A2	138	1	16	Protobothrops flavoviridis	Metazoa
Q805F3	397	1	16	Xenopus laevis	Metazoa
Q8L5C6	304	1	30	Triticum aestivum	Viridiplantae
Q8L5J1	399	1	26	Solanum lycopersicum	Viridiplantae
Q8WZI8	521	1	17	Aspergillus niger	Fungi
Q90249	137	1	16	Bothrops jararacussu	Metazoa
Q90935	410	1	16	Gallus gallus	Metazoa
Q90WJ8	166	1	24	Anguilla japonica	Metazoa
Q95JC9	676	1	16	Sus scrofa	Metazoa
Q96TU3	537	1	19	Aspergillus awamori	Fungi
Q9ATH2	115	1	23	Corylus avellana	Viridiplantae
Q9GQV7	128	1	22	Aedes aegypti	Metazoa
Q9NII7	60	1	22	Olivierus martensii	Metazoa
Q9NL89	495	1	16	Bombyx mori	Metazoa
Q9TSN6	142	1	18	Bubalus bubalis	Metazoa
Q9U572	1670	1	14	Penaeus monodon	Metazoa
Q9UAD0	59	1	24	Olivierus martensii	Metazoa
Q9UVI4	394	1	16	Claviceps fusiformis	Fungi
W8E7D1	851	1	23	Macrovipera lebetinus	Metazoa
X2JCV5	516	1	18	Cerastes cerastes	Metazoa
P01714	112	1	20	Homo sapiens	Metazoa
Q96IQ7	327	1	23	Homo sapiens	Metazoa
O75596	197	1	22	Homo sapiens	Metazoa
P01566	189	1	23	Homo sapiens	Metazoa
P01599	117	1	22	Homo sapiens	Metazoa
P01715	115	1	20	Homo sapiens	Metazoa
P01717	112	1	19	Homo sapiens	Metazoa
P01763	117	1	19	Homo sapiens	Metazoa
P60153	205	1	26	Homo sapiens	Metazoa
Q5FWE3	981	1	27	Homo sapiens	Metazoa
Q6UWM7	567	1	21	Homo sapiens	Metazoa
Q96I82	304	1	30	Homo sapiens	Metazoa
Q96QR1	104	1	20	Homo sapiens	Metazoa
O75711	98	1	20	Homo sapiens	Metazoa
P01569	189	1	21	Homo sapiens	Metazoa
P01743	117	1	19	Homo sapiens	Metazoa
P01762	117	1	19	Homo sapiens	Metazoa
P12872	115	1	25	Homo sapiens	Metazoa
Q6UWV2	235	1	31	Homo sapiens	Metazoa
Q8NBM8	494	1	22	Homo sapiens	Metazoa
Q8TAL6	211	1	18	Homo sapiens	Metazoa
Q96S96	227	1	22	Homo sapiens	Metazoa
Q9BX93	195	1	19	Homo sapiens	Metazoa
Q9H4G1	147	1	28	Homo sapiens	Metazoa
Q9HB40	452	1	26	Homo sapiens	Metazoa
P01611	117	1	22	Homo sapiens	Metazoa
P01624	115	1	20	Homo sapiens	Metazoa
P01703	118	1	19	Homo sapiens	Metazoa
P01718	113	1	20	Homo sapiens	Metazoa
P01766	116	1	19	Homo sapiens	Metazoa
P01767	116	1	19	Homo sapiens	Metazoa
P01782	118	1	19	Homo sapiens	Metazoa
P04430	117	1	22	Homo sapiens	Metazoa
P58294	105	1	19	Homo sapiens	Metazoa
Q14641	139	1	25	Homo sapiens	Metazoa
Q6UWM5	242	1	22	Homo sapiens	Metazoa
Q6UXK5	716	1	25	Homo sapiens	Metazoa
P01614	121	1	19	Homo sapiens	Metazoa
P01824	125	1	26	Homo sapiens	Metazoa
P05013	189	1	20	Homo sapiens	Metazoa
Q5DT21	86	1	19	Homo sapiens	Metazoa
Q6UW32	110	1	24	Homo sapiens	Metazoa
Q6UX52	265	1	20	Homo sapiens	Metazoa
Q96PL1	93	1	21	Homo sapiens	Metazoa
Q9NRR1	136	1	22	Homo sapiens	Metazoa
Q9NTU7	201	1	27	Homo sapiens	Metazoa
Q9UN67	800	1	26	Homo sapiens	Metazoa
D4A540	148	1	31	Rattus norvegicus	Metazoa
P13384	317	1	33	Bos taurus	Metazoa
P20059	460	1	23	Rattus norvegicus	Metazoa
P30224	80	1	29	Arabidopsis thaliana	Viridiplantae
P42813	230	1	22	Arabidopsis thaliana	Viridiplantae
P46168	62	1	22	Bos taurus	Metazoa
P47853	369	1	16	Rattus norvegicus	Metazoa
P80513	179	1	21	Bos taurus	Metazoa
P81019	183	1	25	Bos taurus	Metazoa
Q04457	562	1	16	Caenorhabditis elegans	Metazoa
Q05186	325	1	23	Mus musculus	Metazoa
Q3UN54	99	1	21	Mus musculus	Metazoa
Q55GS3	607	1	19	Dictyostelium discoideum	Amoebozoa
Q63010	561	1	18	Rattus norvegicus	Metazoa
Q8LG54	130	1	21	Arabidopsis thaliana	Viridiplantae
Q8S2W4	61	1	22	Arabidopsis thaliana	Viridiplantae
Q9LYF6	61	1	22	Arabidopsis thaliana	Viridiplantae
O48818	257	1	20	Arabidopsis thaliana	Viridiplantae
O70280	212	1	26	Rattus norvegicus	Metazoa
O82337	73	1	26	Arabidopsis thaliana	Viridiplantae
P02781	112	1	20	Rattus norvegicus	Metazoa
P04651	141	1	20	Bos taurus	Metazoa
P05366	122	1	19	Mus musculus	Metazoa
P07994	360	1	17	Bos taurus	Metazoa
P08937	172	1	15	Rattus norvegicus	Metazoa
P09656	79	1	23	Rattus norvegicus	Metazoa
P13909	402	1	23	Bos taurus	Metazoa
P18915	319	1	14	Bos taurus	Metazoa
P19111	533	1	19	Bos taurus	Metazoa
P21614	476	1	16	Mus musculus	Metazoa
P21837	550	1	19	Dictyostelium discoideum	Amoebozoa
P46162	63	1	22	Bos taurus	Metazoa
P46163	64	1	22	Bos taurus	Metazoa
P80195	153	1	18	Bos taurus	Metazoa
P97535	456	1	24	Rattus norvegicus	Metazoa
P98140	612	1	19	Bos taurus	Metazoa
Q01460	367	1	23	Rattus norvegicus	Metazoa
Q02862	184	1	15	Mus musculus	Metazoa
Q0P569	474	1	24	Bos taurus	Metazoa
Q4V645	108	1	29	Drosophila melanogaster	Metazoa
Q61400	265	1	33	Mus musculus	Metazoa
Q6ZBZ2	213	1	23	Oryza sativa subsp. japonica	Viridiplantae
Q7M438	223	1	25	Dictyostelium discoideum	Amoebozoa
Q8CEK3	90	1	23	Mus musculus	Metazoa
Q8LD43	62	1	22	Arabidopsis thaliana	Viridiplantae
Q8MI01	330	1	23	Bos taurus	Metazoa
Q91Z98	402	1	21	Mus musculus	Metazoa
Q9C8A4	58	1	24	Arabidopsis thaliana	Viridiplantae
Q9LJD9	60	1	27	Arabidopsis thaliana	Viridiplantae
Q9M373	74	1	26	Arabidopsis thaliana	Viridiplantae
G3MYZ3	604	1	21	Bos taurus	Metazoa
G5EC68	85	1	17	Caenorhabditis elegans	Metazoa
P02780	95	1	18	Rattus norvegicus	Metazoa
P04557	140	1	25	Bos taurus	Metazoa
P06911	188	1	19	Rattus norvegicus	Metazoa
P07730	499	1	24	Oryza sativa subsp. japonica	Viridiplantae
P15242	333	1	17	Rattus norvegicus	Metazoa
P19035	96	1	23	Bos taurus	Metazoa
P31532	130	1	18	Mus musculus	Metazoa
P50448	468	1	23	Bos taurus	Metazoa
P81264	98	1	22	Bos taurus	Metazoa
Q53NL5	290	1	27	Oryza sativa subsp. japonica	Viridiplantae
Q5NAT0	640	1	34	Oryza sativa subsp. japonica	Viridiplantae
Q5PP12	69	1	25	Arabidopsis thaliana	Viridiplantae
Q62632	306	1	18	Rattus norvegicus	Metazoa
Q95121	416	1	20	Bos taurus	Metazoa
Q9C9H5	484	1	21	Arabidopsis thaliana	Viridiplantae
Q9FK16	63	1	27	Arabidopsis thaliana	Viridiplantae
Q9SJY7	131	1	21	Arabidopsis thaliana	Viridiplantae
Q9ZT16	135	1	21	Arabidopsis thaliana	Viridiplantae
F1N2K1	508	1	31	Bos taurus	Metazoa
P00683	149	1	25	Mus musculus	Metazoa
P00996	79	1	23	Bos taurus	Metazoa
P02783	112	1	21	Rattus norvegicus	Metazoa
P08541	530	1	23	Rattus norvegicus	Metazoa
P10631	98	1	28	Rattus norvegicus	Metazoa
P13213	303	1	17	Bos taurus	Metazoa
P19034	101	1	22	Bos taurus	Metazoa
P51740	551	1	19	Rattus norvegicus	Metazoa
Q05443	342	1	18	Bos taurus	Metazoa
Q10E50	163	1	43	Oryza sativa subsp. japonica	Viridiplantae
Q10NX8	858	1	30	Oryza sativa subsp. japonica	Viridiplantae
Q28862	310	1	16	Bos taurus	Metazoa
Q5JNJ5	237	1	28	Oryza sativa subsp. japonica	Viridiplantae
Q62703	320	1	25	Rattus norvegicus	Metazoa
Q8L9T8	63	1	27	Arabidopsis thaliana	Viridiplantae
Q91XV6	94	1	17	Rattus norvegicus	Metazoa
Q9C5S0	191	1	20	Arabidopsis thaliana	Viridiplantae
Q9D3H2	163	1	16	Mus musculus	Metazoa
Q9M0S4	127	1	21	Arabidopsis thaliana	Viridiplantae
Q9TW32	197	1	22	Dictyostelium discoideum	Amoebozoa
Q9XSC9	432	1	18	Bos taurus	Metazoa
O35806	1764	1	35	Rattus norvegicus	Metazoa
P01217	120	1	24	Bos taurus	Metazoa
P04073	392	1	16	Rattus norvegicus	Metazoa
P13204	129	1	26	Bos taurus	Metazoa
P15467	147	1	28	Bos taurus	Metazoa
P17690	345	1	19	Bos taurus	Metazoa
P18892	526	1	26	Bos taurus	Metazoa
P33579	238	1	30	Rattus norvegicus	Metazoa
P34207	223	1	28	Rattus norvegicus	Metazoa
P35541	130	1	18	Bos taurus	Metazoa
P35572	226	1	25	Rattus norvegicus	Metazoa
P46165	62	1	22	Bos taurus	Metazoa
P55803	246	1	28	Bos taurus	Metazoa
P84039	477	1	24	Rattus norvegicus	Metazoa
Q18184	89	1	23	Caenorhabditis elegans	Metazoa
Q60767	1723	1	27	Mus musculus	Metazoa
Q60GF7	252	1	22	Rattus norvegicus	Metazoa
Q63191	1216	1	21	Rattus norvegicus	Metazoa
Q9STQ3	59	1	27	Arabidopsis thaliana	Viridiplantae
A0A2I6QB00	418	1	18	Trametes coccinea (strain BRFM310)	Fungi
A0A2I8B353	76	1	23	Paralithodes camtschaticus	Metazoa
A1IKL2	152	1	18	Anisakis simplex	Metazoa
B0CPC6	206	1	21	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi
B1B5I8	81	1	19	Stichodactyla haddoni	Metazoa
B4FZ87	396	1	31	Zea mays	Viridiplantae
B7FDP2	87	1	19	Centruroides suffusus	Metazoa
C0HJQ4	61	1	23	Mesobuthus eupeus	Metazoa
C0HJZ1	72	1	25	Arachis hypogaea	Viridiplantae
C0HKC2	137	1	16	Agkistrodon piscivorus leucostoma	Metazoa
C0HL38	60	1	19	Trichonephila clavata	Metazoa
C0K3N1	150	1	24	Bitis arietans	Metazoa
C4NZN9	131	1	16	Hyas araneus	Metazoa
D3JXM1	59	1	22	Mesobuthus eupeus	Metazoa
E6Y8S8	118	1	27	Apium graveolens	Viridiplantae
G1CWH6	122	1	25	Clitoria ternatea	Viridiplantae
O42720	110	1	32	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi
O59896	518	1	21	Pycnoporus cinnabarinus	Fungi
O76942	395	1	22	Encephalitozoon cuniculi (strain GB-M1)	Fungi
O93233	331	1	23	Gloydius brevicaudus siniticus	Metazoa
O96559	364	1	35	Cimex lectularius	Metazoa
P01170	125	1	24	Lophius americanus	Metazoa
P01224	138	1	20	Sus scrofa	Metazoa
P01228	129	1	20	Sus scrofa	Metazoa
P01313	110	1	24	Cricetulus longicaudatus	Metazoa
P01443	81	1	21	Naja atra	Metazoa
P02681	195	1	20	Tachypleus tridentatus	Metazoa
P02872	273	1	23	Arachis hypogaea	Viridiplantae
P02873	246	1	23	Phaseolus vulgaris	Viridiplantae
P04284	159	1	24	Solanum lycopersicum	Viridiplantae
P06215	328	1	27	Phaseolus vulgaris	Viridiplantae
P06908	248	1	17	Canis lupus familiaris	Metazoa
P09464	189	1	15	Pieris brassicae	Metazoa
P09955	416	1	15	Sus scrofa	Metazoa
P0DJJ8	138	1	16	Protobothrops flavoviridis	Metazoa
P0DMJ5	78	1	22	Radianthus crispa	Metazoa
P12069	148	1	18	Sus scrofa	Metazoa
P13731	405	1	15	Gallus gallus	Metazoa
P13917	427	1	24	Glycine max	Viridiplantae
P14213	77	1	23	Tachypleus tridentatus	Metazoa
P15522	155	1	18	Camelus dromedarius	Metazoa
P18137	141	1	19	Sus scrofa	Metazoa
P18329	80	1	21	Dendroaspis angusticeps	Metazoa
P18657	83	1	26	Macaca fascicularis	Metazoa
P19667	158	1	22	Molineria latifolia	Viridiplantae
P19855	82	1	21	Leiurus quinquestriatus quinquestriatus	Metazoa
P21326	278	1	28	Mirabilis jalapa	Viridiplantae
P22952	117	1	36	Sus scrofa	Metazoa
P23577	317	1	31	Chlamydomonas reinhardtii	Viridiplantae
P24052	142	1	21	Gallus gallus	Metazoa
P24817	286	1	23	Momordica charantia	Viridiplantae
P26652	212	1	24	Gallus gallus	Metazoa
P31226	844	1	19	Aquarana catesbeiana	Metazoa
P32936	149	1	24	Hordeum vulgare	Viridiplantae
P34180	137	1	16	Vipera ammodytes ammodytes	Metazoa
P35334	342	1	29	Phaseolus vulgaris	Viridiplantae
P35496	137	1	21	Sus scrofa	Metazoa
P42705	352	1	23	Canis lupus familiaris	Metazoa
P56612	84	1	19	Tityus stigmurus	Metazoa
P60616	95	1	21	Bungarus multicinctus	Metazoa
P61629	148	1	18	Papio anubis	Metazoa
P61917	151	1	19	Pan troglodytes	Metazoa
P80022	230	1	25	Solanum lycopersicum	Viridiplantae
P81783	87	1	21	Bungarus candidus	Metazoa
P82358	84	1	23	Acanthoscurria gomesiana	Metazoa
P83313	82	1	22	Opistophthalmus carinatus	Metazoa
P84805	239	1	18	Naja kaouthia	Metazoa
P86407	75	1	22	Mesobuthus eupeus	Metazoa
P86798	140	1	19	Cupiennius salei	Metazoa
Q00017	250	1	17	Aspergillus aculeatus	Fungi
Q07154	269	1	24	Zea mays	Viridiplantae
Q12546	614	1	22	Aspergillus ficuum	Fungi
Q25154	134	1	24	Homarus americanus	Metazoa
Q3YJT5	387	1	23	Solanum tuberosum	Viridiplantae
Q4LCS8	82	1	22	Androctonus australis	Metazoa
Q56EB0	150	1	23	Bothrops jararaca	Metazoa
Q5KSB7	161	1	16	Oligobrachia mashikoi	Metazoa
Q5MJP5	90	1	18	Anuroctonus phaiodactylus	Metazoa
Q6TPH0	158	1	23	Protobothrops mucrosquamatus	Metazoa
Q6TPK4	116	1	26	Actinidia deliciosa	Viridiplantae
Q70DJ5	280	1	26	Arachis hypogaea	Viridiplantae
Q76FB0	155	1	20	Cyanidium caldarium	Rhodophyta
Q7T3J2	95	1	21	Bungarus candidus	Metazoa
Q7ZZN8	238	1	19	Naja atra	Metazoa
Q800Y2	118	1	19	Argyrosomus regius	Metazoa
Q8AV97	158	1	23	Protobothrops flavoviridis	Metazoa
Q8JGT6	146	1	23	Protobothrops mucrosquamatus	Metazoa
Q8NK90	628	1	25	Aspergillus kawachii (strain NBRC 4308)	Fungi
Q8UVU7	137	1	16	Cerrophidion godmani	Metazoa
Q92154	620	1	17	Coturnix japonica	Metazoa
Q95NY5	315	1	18	Anopheles stephensi	Metazoa
Q9N2D3	388	1	16	Callithrix jacchus	Metazoa
Q9NBW2	83	1	19	Olivierus martensii	Metazoa
Q9U8D2	57	1	28	Olivierus martensii	Metazoa
Q9U943	3380	1	21	Locusta migratoria	Metazoa
Q9XY87	85	1	21	Olivierus martensii	Metazoa
W5XCJ6	154	1	23	Macrovipera lebetinus	Metazoa
A0A2I6QAZ5	428	1	21	Trametes coccinea (strain BRFM310)	Fungi
A0A4P9I8G4	238	1	20	Waitea arvalis	Fungi
A0A7E5WTY7	211	1	20	Trichoplusia ni	Metazoa
A0A8U1C2Y4	686	1	19	Apis mellifera	Metazoa
A8CG90	137	1	16	Daboia russelii	Metazoa
A8Y7P1	84	1	24	Daboia siamensis	Metazoa
C0HKG0	117	1	25	Clitoria ternatea	Viridiplantae
C1IC49	86	1	21	Walterinnesia aegyptia	Metazoa
C5P3X6	276	1	18	Coccidioides posadasii (strain C735)	Fungi
C7B247	74	1	22	Isometrus maculatus	Metazoa
D1MGU0	156	1	23	Protobothrops jerdonii	Metazoa
D1MGU1	146	1	23	Protobothrops jerdonii	Metazoa
G1CWH1	132	1	28	Clitoria ternatea	Viridiplantae
G1CWH8	123	1	28	Clitoria ternatea	Viridiplantae
G4V4F9	97	1	19	Cupiennius salei	Metazoa
G8YYA6	74	1	22	Androctonus amoreuxi	Metazoa
O22317	340	1	28	Musa acuminata	Viridiplantae
O46162	92	1	19	Schistocerca gregaria	Metazoa
O46168	68	1	17	Eratigena agrestis	Metazoa
O96910	76	1	18	Aplysia californica	Metazoa
P00705	147	1	18	Anas platyrhynchos	Metazoa
P01232	141	1	20	Sus scrofa	Metazoa
P01245	216	1	26	Equus caballus	Metazoa
P01311	110	1	24	Oryctolagus cuniculus	Metazoa
P01318	105	1	24	Ovis aries	Metazoa
P01342	115	1	26	Myxine glutinosa	Metazoa
P01442	81	1	21	Naja atra	Metazoa
P02229	151	1	15	Chironomus thummi thummi	Metazoa
P02756	180	1	18	Capra hircus	Metazoa
P04119	178	1	18	Sus scrofa	Metazoa
P04667	105	1	22	Oncorhynchus keta	Metazoa
P07474	120	1	24	Oryctolagus cuniculus	Metazoa
P08056	238	1	16	Rhizopus niveus	Fungi
P08899	209	1	19	Anguilla japonica	Metazoa
P09462	142	1	19	Ovis aries	Metazoa
P09584	210	1	23	Oncorhynchus keta	Metazoa
P09954	419	1	16	Sus scrofa	Metazoa
P0C1X7	83	1	20	Tityus discrepans	Metazoa
P0C8E8	86	1	20	Rhipicephalus sanguineus	Metazoa
P0C908	59	1	22	Buthus israelis	Metazoa
P0CC12	57	1	28	Odontobuthus doriae	Metazoa
P0DUT6	66	1	20	Doratifera vulnerans	Metazoa
P10257	137	1	24	Oncorhynchus keta	Metazoa
P10281	276	1	17	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi
P12707	106	1	23	Xenopus laevis	Metazoa
P14944	142	1	26	Carcinus maenas	Metazoa
P15156	695	1	21	Mesocricetus auratus	Metazoa
P18926	87	1	19	Centruroides tecomanus	Metazoa
P20013	372	1	26	Trametes versicolor	Fungi
P20112	300	1	17	Sus scrofa	Metazoa
P20476	138	1	16	Craspedocephalus gramineus	Metazoa
P23035	413	1	24	Oryctolagus cuniculus	Metazoa
P23806	152	1	23	Protobothrops flavoviridis	Metazoa
P26729	92	1	19	Bombyx mori	Metazoa
P28351	545	1	31	Aspergillus niger	Fungi
P31235	409	1	19	Oryctolagus cuniculus	Metazoa
P33185	290	1	23	Bryonia dioica	Viridiplantae
P33559	327	1	25	Aspergillus kawachii (strain NBRC 4308)	Fungi
P45663	87	1	19	Centruroides noxius	Metazoa
P48747	557	1	21	Oryctolagus cuniculus	Metazoa
P48816	137	1	18	Bombyx mori	Metazoa
P49141	149	1	20	Monodelphis domestica	Metazoa
P51918	94	1	22	Haplochromis burtoni	Metazoa
P56526	985	1	25	Aspergillus niger	Fungi
P56829	195	1	23	Ovis aries	Metazoa
P59938	57	1	21	Olivierus martensii	Metazoa
P67876	176	1	27	Aspergillus restrictus	Fungi
P67976	180	1	18	Ovis aries	Metazoa
P67977	148	1	18	Semnopithecus entellus	Metazoa
P80060	92	1	19	Locusta migratoria	Metazoa
P80426	690	1	18	Salmo salar	Metazoa
P80463	428	1	24	Phaseolus lunatus	Viridiplantae
P81447	154	1	18	Capra hircus	Metazoa
P81497	387	1	16	Suncus murinus	Metazoa
P82818	66	1	24	Bombyx mori	Metazoa
P83400	60	1	24	Hottentotta tamulus	Metazoa
P84527	213	1	24	Actinidia deliciosa	Viridiplantae
P85213	72	1	29	Galleria mellonella	Metazoa
P85261	213	1	24	Actinidia chinensis var. chinensis	Viridiplantae
P86404	86	1	19	Mesobuthus eupeus	Metazoa
Q00293	435	1	22	Aspergillus tubingensis	Fungi
Q07081	464	1	16	Aquarana catesbeiana	Metazoa
Q17058	567	1	17	Apis mellifera	Metazoa
Q26636	339	1	17	Sarcophaga peregrina	Metazoa
Q2PGY1	217	1	27	Penicillium citrinum	Fungi
Q2YHJ4	138	1	16	Craspedocephalus borneensis	Metazoa
Q2YHJ9	138	1	16	Craspedocephalus puniceus	Metazoa
Q39649	141	1	22	Cucurbita maxima	Viridiplantae
Q3HLQ4	138	1	16	Protobothrops mucrosquamatus	Metazoa
Q41161	285	1	31	Robinia pseudoacacia	Viridiplantae
Q4LCS9	80	1	22	Androctonus australis	Metazoa
Q5DW47	107	1	21	Apis mellifera	Metazoa
Q6GU94	56	1	24	Centruroides limpidus	Metazoa
Q6H3D2	138	1	16	Trimeresurus stejnegeri	Metazoa
Q76CE6	243	1	20	Typhula ishikariensis	Fungi
Q7M4T0	480	1	17	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi
Q7T2I5	83	1	21	Laticauda semifasciata	Metazoa
Q84V39	123	1	21	Olea europaea	Viridiplantae
Q875I9	238	1	17	Aspergillus fumigatus	Fungi
Q8AYA2	166	1	19	Bothrops moojeni	Metazoa
Q8HY17	140	1	26	Sus scrofa	Metazoa
Q8I817	88	1	19	Aplysia californica	Metazoa
Q8IFJ8	659	1	18	Scutigera coleoptrata	Metazoa
Q90W54	504	1	18	Gloydius blomhoffii	Metazoa
Q90WA1	83	1	24	Pseudonaja textilis textilis	Metazoa
Q90Y77	138	1	16	Protobothrops flavoviridis	Metazoa
Q98996	138	1	16	Daboia palaestinae	Metazoa
Q9GK12	193	1	21	Camelus dromedarius	Metazoa
Q9N2D2	381	1	16	Callithrix jacchus	Metazoa
Q9NII6	57	1	20	Olivierus martensii	Metazoa
Q9PTC3	201	1	19	Notechis ater	Metazoa
A0A0F7YZQ7	100	1	24	Conus victoriae	Metazoa
A0A161AT60	120	1	25	Pisum sativum	Viridiplantae
A0A2I8B346	62	1	23	Paralithodes camtschaticus	Metazoa
A0A2I8B352	71	1	23	Paralithodes camtschaticus	Metazoa
A1BQQ5	289	1	24	Conus marmoreus	Metazoa
A1X158	561	1	20	Perna viridis	Metazoa
A8CG89	138	1	16	Daboia russelii	Metazoa
B0XRV0	721	1	18	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi
B3EWY1	59	1	22	Mesobuthus gibbosus	Metazoa
B5U6Y4	138	1	16	Echis ocellatus	Metazoa
B5U6Z2	138	1	16	Macrovipera lebetina transmediterranea	Metazoa
B8M9H9	358	1	18	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi
B8PYF3	265	1	23	Paspalum notatum	Viridiplantae
D0UGJ0	139	1	16	Bothrops pauloensis	Metazoa
D7UQ40	515	1	25	Alternaria solani	Fungi
F1AWB0	82	1	22	Vaejovis mexicanus	Metazoa
F1CGT6	82	1	17	Centruroides suffusus	Metazoa
F7J1C8	249	1	21	Flammulina velutipes	Fungi
G1CWH5	130	1	25	Clitoria ternatea	Viridiplantae
G8YYA5	74	1	22	Androctonus amoreuxi	Metazoa
G9I929	84	1	24	Micrurus tener tener	Metazoa
I6RU32	74	1	23	Scolopendra mutilans	Metazoa
I6S7G5	84	1	16	Scolopendra mutilans	Metazoa
L7VIN3	69	1	23	Hermetia illucens	Metazoa
M5AXY1	201	1	18	Felis catus	Metazoa
O02826	111	1	20	Sus scrofa	Metazoa
O11780	683	1	23	Sus scrofa	Metazoa
O62680	123	1	25	Sus scrofa	Metazoa
O93426	158	1	23	Crotalus durissus terrificus	Metazoa
P01070	216	1	24	Glycine max	Viridiplantae
P01177	125	1	19	Sus scrofa	Metazoa
P01480	84	1	19	Androctonus australis	Metazoa
P02659	106	1	24	Gallus gallus	Metazoa
P02710	461	1	24	Tetronarce californica	Metazoa
P02742	225	1	20	Oryctolagus cuniculus	Metazoa
P05790	5263	1	21	Bombyx mori	Metazoa
P06205	242	1	24	Limulus polyphemus	Metazoa
P09465	167	1	16	Cricetus cricetus	Metazoa
P09791	129	1	27	Trypanosoma brucei brucei	Discoba
P0C2F4	95	1	19	Heterometrus laoticus	Metazoa
P10762	179	1	16	Locusta migratoria	Metazoa
P10813	215	1	25	Aquarana catesbeiana	Metazoa
P10968	212	1	26	Triticum aestivum	Viridiplantae
P12337	565	1	18	Oryctolagus cuniculus	Metazoa
P13087	220	1	29	Synsepalum dulcificum	Viridiplantae
P15478	386	1	23	Solanum tuberosum	Viridiplantae
P16404	281	1	26	Erythrina corallodendron	Viridiplantae
P18626	214	1	15	Capra hircus	Metazoa
P18659	99	1	20	Macaca fascicularis	Metazoa
P18709	1807	1	15	Xenopus laevis	Metazoa
P18829	63	1	22	Schistocerca gregaria	Metazoa
P19400	169	1	20	Ascaris suum	Metazoa
P19707	129	1	18	Felis catus	Metazoa
P20740	1473	1	36	Gallus gallus	Metazoa
P22864	373	1	19	Aspergillus niger	Fungi
P23502	1286	1	15	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa
P25796	391	1	19	Cavia porcellus	Metazoa
P26730	92	1	19	Bombyx mori	Metazoa
P26776	153	1	20	Sus scrofa	Metazoa
P27485	201	1	18	Sus scrofa	Metazoa
P29060	291	1	22	Nicotiana tabacum	Viridiplantae
P35807	61	1	22	Schistocerca nitens	Metazoa
P37240	147	1	20	Oncorhynchus mykiss	Metazoa
P38660	439	1	19	Mesocricetus auratus	Metazoa
P41822	209	1	27	Aedes aegypti	Metazoa
P42660	471	1	19	Aedes aegypti	Metazoa
P56595	88	1	26	Canis lupus familiaris	Metazoa
P56972	94	1	19	Pandinus imperator	Metazoa
P60215	86	1	20	Tityus obscurus	Metazoa
P60304	81	1	21	Naja atra	Metazoa
P62375	83	1	21	Naja atra	Metazoa
P80245	81	1	21	Naja atra	Metazoa
P80284	513	1	25	Hordeum vulgare	Viridiplantae
