Accession	Organism	Kingdom	Sequence length	transmembrane_term
P53220	239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P53239	316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q03028	310	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q2V2P9	66	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q93XM7	300	Arabidopsis thaliana	Viridiplantae	False
Q8L7F7	739	Arabidopsis thaliana	Viridiplantae	False
Q9FWS3	435	Arabidopsis thaliana	Viridiplantae	False
P00415	261	Bos taurus	Metazoa	False
P00847	226	Bos taurus	Metazoa	True
P04038	74	Bos taurus	Metazoa	True
P53266	389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q02783	413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12375	292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q3E7B2	85	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q56XE8	502	Arabidopsis thaliana	Viridiplantae	True
P32191	649	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q80X86	340	Mus musculus	Metazoa	False
P10355	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P14066	229	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q03151	367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q96326	256	Arabidopsis thaliana	Viridiplantae	True
P36120	742	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38204	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P42846	591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P47108	1174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05942	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q1PEP5	636	Arabidopsis thaliana	Viridiplantae	False
Q3E705	233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8K363	660	Mus musculus	Metazoa	False
Q91VE6	317	Mus musculus	Metazoa	False
Q94BV2	181	Arabidopsis thaliana	Viridiplantae	False
Q9LFE2	876	Arabidopsis thaliana	Viridiplantae	False
A4F267	308	Rattus norvegicus	Metazoa	False
P00423	169	Bos taurus	Metazoa	False
P38988	300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40035	300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P47045	478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q99297	307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P9WEY3	707	Penicillium brevicompactum	Fungi	False
Q00922	663	Candida boidinii	Fungi	False
P10566	314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P16036	356	Rattus norvegicus	Metazoa	False
P23500	304	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32331	307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P32843	850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38880	579	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q04172	456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
H3BKT1	185	Mus musculus	Metazoa	False
P36144	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53188	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q07844	837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q08287	484	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12153	453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8C6B9	143	Mus musculus	Metazoa	False
Q8L719	292	Arabidopsis thaliana	Viridiplantae	False
P33311	773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P81451	68	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P93313	495	Arabidopsis thaliana	Viridiplantae	True
Q06668	471	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q5NCS9	454	Mus musculus	Metazoa	True
Q8VYE2	376	Arabidopsis thaliana	Viridiplantae	True
Q94CK3	167	Arabidopsis thaliana	Viridiplantae	False
Q9LK29	307	Arabidopsis thaliana	Viridiplantae	False
P33750	489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P48234	707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P48732	543	Arabidopsis thaliana	Viridiplantae	False
P53136	463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53313	767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q04712	507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q06511	250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q12035	217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q794E4	415	Rattus norvegicus	Metazoa	False
Q9DAA6	195	Mus musculus	Metazoa	False
Q9LF27	433	Arabidopsis thaliana	Viridiplantae	False
Q9LUJ5	293	Arabidopsis thaliana	Viridiplantae	False
Q9LXT3	142	Arabidopsis thaliana	Viridiplantae	False
Q9VCP1	424	Drosophila melanogaster	Metazoa	False
F4I700	717	Arabidopsis thaliana	Viridiplantae	False
F4ISV6	537	Arabidopsis thaliana	Viridiplantae	False
P0DO23	394	Arabidopsis thaliana	Viridiplantae	False
P38278	337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P38687	599	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P40079	357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q02983	363	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q17632	961	Caenorhabditis elegans	Metazoa	False
Q6NQ54	115	Arabidopsis thaliana	Viridiplantae	False
Q8BG17	217	Mus musculus	Metazoa	False
Q8GY84	456	Arabidopsis thaliana	Viridiplantae	False
Q9ESX4	241	Mus musculus	Metazoa	False
Q9LRY0	189	Arabidopsis thaliana	Viridiplantae	False
Q9VL25	694	Drosophila melanogaster	Metazoa	False
Q9Z2Q2	478	Mus musculus	Metazoa	False
Q923Q2	1113	Mus musculus	Metazoa	False
Q0JNB6	554	Oryza sativa subsp. japonica	Viridiplantae	False
Q39228	514	Arabidopsis thaliana	Viridiplantae	False
Q5GH62	373	Mus musculus	Metazoa	True
Q6AYR9	241	Rattus norvegicus	Metazoa	True
Q8L7Z0	720	Arabidopsis thaliana	Viridiplantae	False
Q9LPV5	502	Arabidopsis thaliana	Viridiplantae	True
Q9LSQ5	204	Arabidopsis thaliana	Viridiplantae	False
Q9LV40	523	Arabidopsis thaliana	Viridiplantae	False
Q94AQ9	260	Arabidopsis thaliana	Viridiplantae	False
D3ZGZ6	127	Rattus norvegicus	Metazoa	True
P0DM40	2038	Mus musculus	Metazoa	False
Q6F3B4	330	Oryza sativa subsp. japonica	Viridiplantae	False
Q6X632	540	Mus musculus	Metazoa	False
Q76M72	551	Mus musculus	Metazoa	True
Q80T79	3707	Mus musculus	Metazoa	True
Q9FM19	286	Arabidopsis thaliana	Viridiplantae	False
Q9LK88	196	Arabidopsis thaliana	Viridiplantae	False
Q5SV85	1306	Mus musculus	Metazoa	False
P00426	152	Bos taurus	Metazoa	False
P38812	185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8BK30	104	Mus musculus	Metazoa	False
Q9CQJ8	179	Mus musculus	Metazoa	False
Q9FMH6	155	Arabidopsis thaliana	Viridiplantae	False
P23586	522	Arabidopsis thaliana	Viridiplantae	False
Q08991	375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q39222	216	Arabidopsis thaliana	Viridiplantae	False
Q5DT39	243	Rattus norvegicus	Metazoa	False
Q5VRD7	53	Oryza sativa subsp. japonica	Viridiplantae	True
Q76M99	551	Rattus norvegicus	Metazoa	True
Q7XII4	316	Oryza sativa subsp. japonica	Viridiplantae	False
Q8BG67	819	Mus musculus	Metazoa	False
Q9CAH5	320	Arabidopsis thaliana	Viridiplantae	True
P05631	298	Bos taurus	Metazoa	False
P18900	473	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P19536	128	Mus musculus	Metazoa	False
P38300	278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P56391	86	Mus musculus	Metazoa	False
Q7TMF3	145	Mus musculus	Metazoa	False
P38851	1228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
A0A286YD83	63	Mus musculus	Metazoa	True
P0DP88	75	Danio rerio	Metazoa	True
P40975	43	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P48044	370	Bos taurus	Metazoa	False
P70426	219	Mus musculus	Metazoa	False
Q1ZXQ0	1019	Dictyostelium discoideum	Amoebozoa	False
Q3V050	573	Mus musculus	Metazoa	True
Q54RD6	312	Dictyostelium discoideum	Amoebozoa	False
Q5DT37	247	Rattus norvegicus	Metazoa	True
Q8BFX3	815	Mus musculus	Metazoa	False
Q8SWR3	435	Drosophila melanogaster	Metazoa	False
Q944M5	251	Arabidopsis thaliana	Viridiplantae	False
Q9EP86	432	Rattus norvegicus	Metazoa	False
Q9FZ96	356	Arabidopsis thaliana	Viridiplantae	True
Q9LYB4	173	Arabidopsis thaliana	Viridiplantae	False
H1UBN0	556	Rattus norvegicus	Metazoa	False
Q08902	515	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q921G6	680	Mus musculus	Metazoa	False
Q9C7A2	590	Arabidopsis thaliana	Viridiplantae	False
Q9DBN1	621	Mus musculus	Metazoa	True
Q9FXH5	393	Arabidopsis thaliana	Viridiplantae	True
Q9FZK4	122	Arabidopsis thaliana	Viridiplantae	False
O35857	452	Mus musculus	Metazoa	False
P00427	148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P12787	146	Mus musculus	Metazoa	False
P38909	366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9CQZ5	131	Mus musculus	Metazoa	False
P00428	129	Bos taurus	Metazoa	False
P38860	518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P53260	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P80235	687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05779	260	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q08058	207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9Z1P6	113	Mus musculus	Metazoa	False
Q9CPU2	105	Mus musculus	Metazoa	False
Q9D855	111	Mus musculus	Metazoa	False
Q9DCS9	176	Mus musculus	Metazoa	False
Q93VR9	326	Arabidopsis thaliana	Viridiplantae	False
Q9C7F5	126	Arabidopsis thaliana	Viridiplantae	False
D0EL35	1272	Arabidopsis thaliana	Viridiplantae	False
F4HVZ5	279	Arabidopsis thaliana	Viridiplantae	False
P0DH90	609	Arabidopsis thaliana	Viridiplantae	False
P12297	963	Drosophila melanogaster	Metazoa	False
Q18412	309	Caenorhabditis elegans	Metazoa	False
Q6NZF1	792	Mus musculus	Metazoa	False
Q9CX97	388	Mus musculus	Metazoa	False
Q9FMG4	303	Arabidopsis thaliana	Viridiplantae	False
Q84WU8	809	Arabidopsis thaliana	Viridiplantae	False
Q8VZI8	813	Arabidopsis thaliana	Viridiplantae	False
Q562A2	1073	Rattus norvegicus	Metazoa	False
Q9C500	180	Arabidopsis thaliana	Viridiplantae	False
O35683	70	Mus musculus	Metazoa	True
A2BE28	776	Mus musculus	Metazoa	False
F4I2J8	716	Arabidopsis thaliana	Viridiplantae	False
O64740	302	Arabidopsis thaliana	Viridiplantae	False
P38126	564	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q06568	189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q61048	376	Mus musculus	Metazoa	False
Q7TMD5	736	Rattus norvegicus	Metazoa	False
Q9LMK5	160	Arabidopsis thaliana	Viridiplantae	False
Q9LU89	510	Arabidopsis thaliana	Viridiplantae	False
A7E3N7	446	Rattus norvegicus	Metazoa	False
Q6NN03	63	Arabidopsis thaliana	Viridiplantae	True
Q9ERD6	590	Mus musculus	Metazoa	False
Q9XIK0	179	Arabidopsis thaliana	Viridiplantae	False
A1Z6M6	396	Drosophila melanogaster	Metazoa	False
Q7JWP6	221	Drosophila melanogaster	Metazoa	False
Q7XTK3	435	Oryza sativa subsp. japonica	Viridiplantae	False
Q8GWQ6	232	Arabidopsis thaliana	Viridiplantae	False
Q941Q3	524	Arabidopsis thaliana	Viridiplantae	False
Q9DAM1	415	Mus musculus	Metazoa	False
Q8R1Q0	292	Mus musculus	Metazoa	False
P41819	318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q22037	346	Caenorhabditis elegans	Metazoa	False
Q80ZW0	539	Mus musculus	Metazoa	False
Q93VI4	227	Arabidopsis thaliana	Viridiplantae	False
Q9VX09	607	Drosophila melanogaster	Metazoa	False
Q9ZVU5	411	Arabidopsis thaliana	Viridiplantae	False
U4PCM1	809	Caenorhabditis elegans	Metazoa	False
P11596	197	Drosophila melanogaster	Metazoa	False
P32786	894	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P39715	212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05024	226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q1PDV2	236	Arabidopsis thaliana	Viridiplantae	False
Q8L716	589	Arabidopsis thaliana	Viridiplantae	False
Q9D7K2	161	Mus musculus	Metazoa	False
Q9D883	239	Mus musculus	Metazoa	False
Q9JJL0	238	Mus musculus	Metazoa	False
Q9LX90	217	Arabidopsis thaliana	Viridiplantae	False
Q9SY88	310	Arabidopsis thaliana	Viridiplantae	False
O35094	453	Rattus norvegicus	Metazoa	False
G3UVW3	457	Mus musculus	Metazoa	True
Q9VPH0	869	Drosophila melanogaster	Metazoa	False
Q8VZE7	671	Arabidopsis thaliana	Viridiplantae	False
Q9SW27	118	Arabidopsis thaliana	Viridiplantae	False
F4IZ80	124	Arabidopsis thaliana	Viridiplantae	False
Q9LZN0	546	Arabidopsis thaliana	Viridiplantae	False
Q9SKX9	71	Arabidopsis thaliana	Viridiplantae	True
O35469	373	Mus musculus	Metazoa	False
Q03327	502	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9LK25	279	Arabidopsis thaliana	Viridiplantae	False
B3DH96	325	Danio rerio	Metazoa	False
Q75KU4	210	Oryza sativa subsp. japonica	Viridiplantae	False
Q8GWJ6	119	Arabidopsis thaliana	Viridiplantae	False
Q8LCS8	124	Arabidopsis thaliana	Viridiplantae	False
P53836	1060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q18250	461	Caenorhabditis elegans	Metazoa	False
Q9U213	425	Caenorhabditis elegans	Metazoa	False
Q9M9T4	442	Arabidopsis thaliana	Viridiplantae	False
P14893	373	Bos taurus	Metazoa	False
P26150	373	Mus musculus	Metazoa	False
P36064	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P57744	87	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q04006	179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9FNC9	99	Arabidopsis thaliana	Viridiplantae	True
Q05518	499	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q5SZA1	478	Mus musculus	Metazoa	False
Q8BGC3	486	Mus musculus	Metazoa	True
Q9FJG1	90	Arabidopsis thaliana	Viridiplantae	False
Q05809	96	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9ZNT7	286	Arabidopsis thaliana	Viridiplantae	False
F4HYD7	467	Arabidopsis thaliana	Viridiplantae	False
F4IDJ0	830	Arabidopsis thaliana	Viridiplantae	False
Q6NQ72	288	Arabidopsis thaliana	Viridiplantae	False
Q76MT4	842	Rattus norvegicus	Metazoa	False
Q9ZPV5	764	Arabidopsis thaliana	Viridiplantae	False
Q9D385	163	Mus musculus	Metazoa	False
O08786	436	Mus musculus	Metazoa	False
O81016	1420	Arabidopsis thaliana	Viridiplantae	False
P41930	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P43253	416	Rattus norvegicus	Metazoa	False
Q4FZU9	463	Rattus norvegicus	Metazoa	True
Q5DRK1	494	Rattus norvegicus	Metazoa	True
Q60EN8	151	Oryza sativa subsp. japonica	Viridiplantae	True
Q6Z2T3	298	Oryza sativa subsp. japonica	Viridiplantae	False
Q7XBS0	721	Oryza sativa subsp. japonica	Viridiplantae	True
Q86LG1	606	Drosophila melanogaster	Metazoa	True
Q8BMC0	344	Mus musculus	Metazoa	False
Q8BZF8	567	Mus musculus	Metazoa	False
Q5SWY8	596	Mus musculus	Metazoa	True
Q9XWL9	895	Caenorhabditis elegans	Metazoa	False
Q6NL34	543	Drosophila melanogaster	Metazoa	False
O88910	568	Mus musculus	Metazoa	False
P40043	161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q5NCM1	492	Mus musculus	Metazoa	False
Q7TMR7	522	Rattus norvegicus	Metazoa	True
Q8VCA0	551	Mus musculus	Metazoa	True
Q9DCX7	243	Mus musculus	Metazoa	True
P25621	512	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P30606	609	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P30938	363	Rattus norvegicus	Metazoa	False
P32907	282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P38727	235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P40475	563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P53283	614	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q06451	622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q06611	286	Arabidopsis thaliana	Viridiplantae	False
Q12359	275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q695P6	343	Rattus norvegicus	Metazoa	False
Q7TQP3	335	Mus musculus	Metazoa	False
Q9FMX3	514	Arabidopsis thaliana	Viridiplantae	False
Q9LXF3	187	Arabidopsis thaliana	Viridiplantae	True
Q9M817	607	Arabidopsis thaliana	Viridiplantae	True
Q9R0Q2	351	Rattus norvegicus	Metazoa	False
Q9SQH9	498	Arabidopsis thaliana	Viridiplantae	True
O17915	215	Caenorhabditis elegans	Metazoa	False
Q06162	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
O23365	580	Arabidopsis thaliana	Viridiplantae	False
D3ZK93	322	Rattus norvegicus	Metazoa	True
Q08913	375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q3UVY1	732	Mus musculus	Metazoa	False
Q6R3K9	664	Arabidopsis thaliana	Viridiplantae	True
Q8BW93	344	Mus musculus	Metazoa	False
Q91WW3	302	Mus musculus	Metazoa	False
Q9JJI5	425	Rattus norvegicus	Metazoa	False
Q8BHK1	323	Mus musculus	Metazoa	True
O49660	491	Arabidopsis thaliana	Viridiplantae	True
P40474	542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P40528	902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q0GA42	951	Mus musculus	Metazoa	True
Q80Z96	526	Mus musculus	Metazoa	False
Q84M97	742	Arabidopsis thaliana	Viridiplantae	False
Q8LPL2	591	Arabidopsis thaliana	Viridiplantae	True
Q9CAX3	204	Arabidopsis thaliana	Viridiplantae	True
Q9FFZ7	202	Arabidopsis thaliana	Viridiplantae	True
Q9JL21	362	Mus musculus	Metazoa	False
Q9M390	570	Arabidopsis thaliana	Viridiplantae	False
P37271	422	Arabidopsis thaliana	Viridiplantae	False
O22920	831	Arabidopsis thaliana	Viridiplantae	True
O23492	582	Arabidopsis thaliana	Viridiplantae	False
P35413	330	Mus musculus	Metazoa	False
P40169	301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
P40897	799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q04683	374	Mus musculus	Metazoa	False
Q06991	263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q8C131	343	Mus musculus	Metazoa	False
Q94JG1	516	Oryza sativa subsp. japonica	Viridiplantae	True
Q9LQU4	152	Arabidopsis thaliana	Viridiplantae	True
Q9LV10	616	Arabidopsis thaliana	Viridiplantae	True
Q9LYG9	734	Arabidopsis thaliana	Viridiplantae	False
Q9M9V7	587	Arabidopsis thaliana	Viridiplantae	True
Q12493	238	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q5SFM8	1060	Mus musculus	Metazoa	False
Q9DBU6	334	Mus musculus	Metazoa	False
O82628	110	Arabidopsis thaliana	Viridiplantae	False
Q9CWR7	339	Mus musculus	Metazoa	True
Q8VYD8	315	Arabidopsis thaliana	Viridiplantae	False
Q9T0H9	359	Arabidopsis thaliana	Viridiplantae	False
Q9V6B9	610	Drosophila melanogaster	Metazoa	False
G5EGA9	345	Caenorhabditis elegans	Metazoa	False
O88492	1403	Mus musculus	Metazoa	False
Q9JJC8	359	Mus musculus	Metazoa	True
Q12143	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q05131	434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q08157	551	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q7XA83	423	Arabidopsis thaliana	Viridiplantae	False
Q95X44	226	Caenorhabditis elegans	Metazoa	False
P93009	182	Arabidopsis thaliana	Viridiplantae	False
Q6PG16	667	Mus musculus	Metazoa	False
Q9VDV3	546	Drosophila melanogaster	Metazoa	False
Q3E7Y6	73	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P48499	251	Leishmania mexicana	Discoba	False
P43606	678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
O23614	515	Arabidopsis thaliana	Viridiplantae	False
Q8H1Q1	280	Arabidopsis thaliana	Viridiplantae	False
A0A1P8B590	446	Arabidopsis thaliana	Viridiplantae	False
Q9LFC0	360	Arabidopsis thaliana	Viridiplantae	False
P46010	346	Arabidopsis thaliana	Viridiplantae	False
Q9ZVZ9	199	Arabidopsis thaliana	Viridiplantae	False
Q9Z0W3	1402	Mus musculus	Metazoa	False
O22160	224	Arabidopsis thaliana	Viridiplantae	False
O49292	260	Arabidopsis thaliana	Viridiplantae	False
P82869	466	Arabidopsis thaliana	Viridiplantae	False
Q9LYR5	256	Arabidopsis thaliana	Viridiplantae	False
O24466	216	Arabidopsis thaliana	Viridiplantae	False
P28186	216	Arabidopsis thaliana	Viridiplantae	False
Q17602	1390	Caenorhabditis elegans	Metazoa	False
P82715	297	Arabidopsis thaliana	Viridiplantae	False
P32962	339	Arabidopsis thaliana	Viridiplantae	False
Q04279	960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q5PT50	340	Rattus norvegicus	Metazoa	True
Q94CD4	134	Arabidopsis thaliana	Viridiplantae	False
Q9Z0Y7	1216	Mus musculus	Metazoa	False
Q4QQS1	425	Rattus norvegicus	Metazoa	True
P0CV95	578	Fragaria ananassa	Viridiplantae	False
F4KHG6	489	Arabidopsis thaliana	Viridiplantae	False
O22870	223	Arabidopsis thaliana	Viridiplantae	False
Q9LM71	232	Arabidopsis thaliana	Viridiplantae	False
O88575	635	Mus musculus	Metazoa	False
F7VNF8	909	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	Fungi	False
B9DHG0	301	Arabidopsis thaliana	Viridiplantae	True
O80634	238	Arabidopsis thaliana	Viridiplantae	False
Q9FL44	235	Arabidopsis thaliana	Viridiplantae	False
Q08274	665	Mus musculus	Metazoa	False
Q08457	257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q9C7G0	562	Arabidopsis thaliana	Viridiplantae	False
Q9CPZ1	294	Mus musculus	Metazoa	False
Q9CZG9	140	Mus musculus	Metazoa	False
Q0WSX8	255	Arabidopsis thaliana	Viridiplantae	False
Q9SQR5	554	Arabidopsis thaliana	Viridiplantae	False
O44827	510	Caenorhabditis elegans	Metazoa	False
Q5Z5B7	420	Oryza sativa subsp. japonica	Viridiplantae	False
Q9LU21	204	Arabidopsis thaliana	Viridiplantae	False
B6UV92	444	Oryza sativa subsp. japonica	Viridiplantae	False
O82279	350	Arabidopsis thaliana	Viridiplantae	False
Q9LX31	265	Arabidopsis thaliana	Viridiplantae	False
Q197W8	473	Arabidopsis thaliana	Viridiplantae	False
Q05050	843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8BMA3	555	Mus musculus	Metazoa	False
O82259	225	Arabidopsis thaliana	Viridiplantae	False
O80832	410	Arabidopsis thaliana	Viridiplantae	False
Q1ACB3	386	Arabidopsis thaliana	Viridiplantae	False
Q2QLV9	398	Oryza sativa subsp. japonica	Viridiplantae	False
Q8L7W1	678	Arabidopsis thaliana	Viridiplantae	False
Q9SKZ5	560	Arabidopsis thaliana	Viridiplantae	False
P25596	615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q5M876	319	Rattus norvegicus	Metazoa	False
P36173	615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q9VKY1	268	Drosophila melanogaster	Metazoa	False
Q8C8C1	263	Mus musculus	Metazoa	False
O77475	392	Drosophila melanogaster	Metazoa	True
P38065	1025	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q80ZI2	223	Mus musculus	Metazoa	False
Q80TN7	2359	Mus musculus	Metazoa	False
Q12235	531	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	True
Q8C206	330	Mus musculus	Metazoa	False
O46101	244	Drosophila melanogaster	Metazoa	True
Q9VW87	162	Drosophila melanogaster	Metazoa	True
P56785	1786	Arabidopsis thaliana	Viridiplantae	False
Q94AQ8	348	Arabidopsis thaliana	Viridiplantae	False
P46312	448	Arabidopsis thaliana	Viridiplantae	False
Q652K1	274	Oryza sativa subsp. japonica	Viridiplantae	False
Q68FY1	325	Rattus norvegicus	Metazoa	False
Q93WG3	294	Arabidopsis thaliana	Viridiplantae	False
Q810Y4	532	Rattus norvegicus	Metazoa	False
O23342	177	Arabidopsis thaliana	Viridiplantae	False
O49668	214	Arabidopsis thaliana	Viridiplantae	False
Q38885	551	Arabidopsis thaliana	Viridiplantae	False
Q8GT74	241	Arabidopsis thaliana	Viridiplantae	True
Q9SRY4	453	Arabidopsis thaliana	Viridiplantae	False
O22922	232	Arabidopsis thaliana	Viridiplantae	False
Q8LDD3	193	Arabidopsis thaliana	Viridiplantae	False
Q8CDY7	219	Mus musculus	Metazoa	False
Q39194	133	Arabidopsis thaliana	Viridiplantae	False
P49107	171	Arabidopsis thaliana	Viridiplantae	False
P28235	333	Mus musculus	Metazoa	True
Q949W6	485	Arabidopsis thaliana	Viridiplantae	False
